"Fips","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","White..Not.Latino..Population","African.American.Population","Native.American.Population","Asian.American.Population","Other.Race.or.Races","Latino.Population","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Gini.Coefficient","Child.Poverty.living.in.families.below.the.poverty.line","Management.professional.and.related.occupations","Service.occupations","Sales.and.office.occupations","Farming.fishing.and.forestry.occupations","Construction.extraction.maintenance.and.repair.occupations","Production.transportation.and.material.moving.occupations","White","Black","Hispanic","Asian","Amerindian","Other","White..Asian","Sire.Homogeneity","Median.Age","lon","lat","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","CA","S","MAR","CFS","ACFS","Mean.Alc","Max.Alc","Mixedness","elevation","Annual.Prcp","Winter.Prcp","Summer.Prcp","Spring.Prcp","Autumn.Prcp","Annual.Tavg","Annual.Tmax","Annual.Tmin","Winter.Tavg","Winter.Tmax","Winter.Tmin","Summer.Tavg","Summer.Tmax","Summer.Tmin","Spring.Tavg","Spring.Tmax","Spring.Tmin","Autumn.Tavg","Autumn.Tmax","Autumn.Tmin","Nearest.County","temp","precip","Temp.Bins","Lat.Bins","Lon.Bins","Precip.Bins","Elevation.Bins"
48353,"22.6","77.4","17.1","4.8","78.15","20207.409525","60.85","4.85","0.30000000000000004","0.2","1.1","32.7","40.8","14.6",14967,"38.5","19.35","0.446","31.6","28.05","18.3","23.6","1.85","12.65","15.55","60.85","4.85","32.7","0.2","0.30000000000000004","1.1","61.05","0.4796875","38.6","-100.4181079","32.312338","","","0.1","96.1","0.398","","0.292","0.109","438.8","87.2","0.247","0.056","963.69","","88.1","","1.31791121373738","-1.35605712457266","0.703133306962893","1.2427268441805902e-05","1.2427268441805902e-05","0.000118749176387","0.000409214848316","-0.34545728806388204","648.8","","","","","","","","","","","","","","","","","","","","",48353,"","","",NA,"(-109,-100]","","(572,1.01e+03]"
6103,"19.7","80.3","12.6","3.8","76.3","23501.698415","72.85","0.65","1.7000000000000002","1.15","2.7","20.95","37.95","7.8",62032,"45.3","20.05","0.453","29.5","25.25","21.65","23.05","4.35","11.4","14.25","72.85","0.65","20.95","1.15","1.7000000000000002","2.7","74.0","0.575795","39.2","-122.2322757","40.1261561","5.2","5.0","0.06","45.5","0.335","0.211","0.26","0.089","253.1","55.1","0.212","0.139","582.16","5.08","81.9","5.7","-0.930007468039279","-0.6473416487462741","0.865650369319184","7.06708783204113e-05","7.06708783204113e-05","8.770843893718482e-05","0.000336952777995","0.08542243829363001","450.575","3534.0","1800.75","113.25","909.25","710.75","","","","","","","","","","","","","","","",6103,"","897.636","",NA,"[-164,-109]","(818,932]","(396,572]"
21091,"15.9","84.1","10.8","4.9","80.75","26416.413335","96.6","0.8","0.30000000000000004","0.1","1.05","1.15","20.75","17.7",8583,"31.5","15.7","0.373","20.4","21.85","16.35","15.2","1.1","12.75","32.65","96.6","0.8","1.15","0.1","0.30000000000000004","1.05","96.7","0.933472499999999","39.3","-86.7927726","37.8433887","3.6","3.6","0.08","57.8","0.398","0.201","0.36","0.114","233.3","","0.146","0.069","40.72","","84.2","","1.72703268908317","-0.538811782786188","0.7838695401567091","4.8333291731039716e-05","4.8333291731039716e-05","5.3581377531422303e-05","0.000327739455698","-0.20884737410283802","121.6","4758.0","1103.33333333333","1125.66666666667","1429.33333333333","1099.66666666667","","","","","","","","","","","","","","","",21091,"","1208.532","",NA,"(-87.2,-84.5]","(1.19e+03,1.27e+03]","(105,167]"
29147,"11.6","88.4","23.7","9.3","79.25","17078.31619","94.0","2.15","0.15","1.3","0.85","1.5","18.25","11.7",22714,"34.3","22.9","0.454","17.2","27.15","21.15","22.15","0.7000000000000001","8.0","20.95","94.0","2.15","1.5","1.3","0.15","0.85","95.3","0.88453075","28.3","-94.8832814","40.3604838","3.0","3.2","0.06","12.8","0.241","0.147","0.303","0.084","349.4","59.5","0.151","0.055","207.55","","59.1","","0.613016611622981","0.16752776764488903","0.798004775215375","4.7598807669802004e-05","4.7598807669802004e-05","0.00015523575314300002","0.000781925821814","0.035143042130438","318.95","3730.5","346.0","1419.5","1121.0","844.0","515.5","620.5","411.5","270.0","363.5","176.5","741.5","846.5","636.5","514.0","622.0","405.5","533.5","646.0","422.0",29147,"10.8611111111111","947.547","10.7,12.0",NA,"(-96.7,-93.6]","(932,1.03e+03]","(317,396]"
40139,"26.9","73.1","20.3","4.7","71.85","23937.074605","53.9","1.05","1.1","0.85","1.5","41.55","25.05","11.0",20517,"35.6","16.05","0.457","20.55","25.0","13.8","20.25","7.75","12.45","20.75","53.9","1.05","41.55","0.85","1.1","1.5","54.75","0.46368975","31.5","-101.4884339","36.7419638","2.5","1.9","0.06","83.9","0.267","0.157","0.309","0.08700000000000001","229.9","58.8","0.28600000000000003","0.047","167.96","","91.0","","-0.813259363782858","-0.42405560403383","0.9478034206116791","0.000112713236692","0.000112713236692","0.00011990124470900001","0.000633028089139","0.474199209536221","958.72","1871.8","192.4","776.2","519.0","384.2","","","","","","","","","","","","","","","",40139,"","475.4372","",NA,"(-109,-100]","(444,628]","(572,1.01e+03]"
28039,"16.4","83.6","11.0","3.7","73.15","29162.191745","87.7","9.0","0.2","0.2","0.75","2.25","18.95","11.75",22252,"45.1","13.5","0.4","17.8","27.7","9.25","20.95","2.4","20.2","19.45","87.7","9.0","2.25","0.2","0.2","0.75","87.9","0.7777995","35.4","-88.6422679","30.8554305","4.6","4.3","0.1","90.1","0.323","0.233","0.374","0.107","270.9","75.9","0.218","0.105","99.17","11.9","123.4","8.1","-1.06076345515754","-0.85069186606298","0.9638631785487051","7.805018870338241e-05","7.805018870338241e-05","0.00012579920524800003","0.0007695834508830001","0.33518933727448","","","","","","","","","","","","","","","","","","","","","",NA,"","","",NA,"(-90.4,-87.2]","",""
17003,"24.0","76.0","9.5","2.8","79.5","23107.078415","61.8","34.5","0.15","0.65","1.6","1.35","47.45","18.65",8246,"54.8","22.1","0.44","34.15","23.55","24.4","26.05","1.3","8.25","16.45","61.8","34.5","1.35","0.65","0.15","1.6","62.45","0.5014317500000001","41.8","-89.3495061","37.1836828","","","0.12","93.0","0.644","","0.327","0.114","1095.1","374.8","0.14","0.114","1351.43","","71.0","","-1.09416528294556","-2.19381700273758","1.15374933139581","-0.000115746827731","0.000115746827731","0.000411782698751","0.0013268953770630002","1.41422380375663","","","","","","","","","","","","","","","","","","","","","",NA,"","","",NA,"(-90.4,-87.2]","",""
17123,"9.8","90.2","17.1","3.6","78.6","26172.605395","95.7","0.35000000000000003","0.15","0.55","0.75","2.4","10.3","6.1",12735,"43.4","9.45","0.4","10.55","26.6","17.6","22.45","1.05","8.95","23.4","95.7","0.35000000000000003","2.4","0.55","0.15","0.75","96.25","0.916526","43.7","-89.3423714","41.0311192","6.6","","0.08","24.6","0.217","","0.298","0.10200000000000001","199.5","","0.116","0.078","124.93","","86.2","","1.40845099753099","0.23193872704449803","0.7510734625904","7.76135279490497e-05","7.76135279490497e-05","0.00016726974465900002","0.001360308170346","0.151496049853056","174.75","3874.5","653.75","1145.0","1119.75","956.0","","","","","","","","","","","","","","","",17123,"","984.123","",NA,"(-90.4,-87.2]","(932,1.03e+03]","(167,216]"
18119,"18.1","81.9","8.3","3.0","70.75","26270.35651","97.15","0.2","0.2","0.45","1.05","0.9500000000000001","19.65","8.2",21973,"26.7","12.45","0.381","18.15","21.35","16.3","20.3","0.7000000000000001","14.5","26.85","97.15","0.2","0.9500000000000001","0.45","0.2","1.05","97.6","0.944040999999999","41.4","-86.8388453","39.3173394","4.3","3.6","0.07","42.7","0.28800000000000003","0.32","0.368","0.109","251.2","70.6","0.185","0.096","","","83.7","","-0.319747569135434","-0.371646082208865","0.714249739165111","5.4461237929404e-05","5.4461237929404e-05","6.336274790547902e-05","0.00033213214572","-0.24618090169506202","167.6","4812.0","921.0","1388.0","1372.0","1131.0","521.0","631.0","410.0","302.0","394.0","210.0","725.0","836.0","614.0","513.0","631.0","396.0","539.0","659.0","418.0",18119,"11.1666666666667","1222.248","10.7,12.0",NA,"(-87.2,-84.5]","(1.19e+03,1.27e+03]","(167,216]"
5009,"16.2","83.8","14.5","4.7","73.95","23571.050795","95.45","0.30000000000000004","0.6000000000000001","0.45","1.6","1.65","22.7","13.9",36622,"44.1","16.0","0.451","21.25","25.8","15.5","31.3","0.9","9.9","16.55","95.45","0.30000000000000004","1.65","0.45","0.6000000000000001","1.6","95.9","0.91166375","40.6","-93.0792041","36.3043077","3.8","4.0","0.06","54.4","0.292","0.146","0.273","0.11800000000000001","288.8","56.7","0.198","0.07100000000000001","284.67","7.88","88.8","7.2","0.589232416750016","-0.38414857156866206","0.6030815805963711","3.2264417848260104e-05","3.2264417848260104e-05","3.4698095453860005e-05","0.00019443662494199998","-0.565413390714781","338.933333333333","4597.33333333333","895.666666666667","1118.0","1348.33333333333","1235.33333333333","","","","","","","","","","","","","","","",5009,"","1167.72266666667","",NA,"(-93.6,-90.4]","(1.12e+03,1.19e+03]","(317,396]"
