"State","Fips","Republicans.2016","Democrats.2016","Republicans.2012","Democrats.2012","Republicans.2008","Democrats.2008","consistency_dem","consistency_rep"
"Georgia","13209",0.749438202247191,0.237921348314607,0.694676409185804,0.296189979123173,0.702228412256267,0.29108635097493,1.01753303832746,0.989245660046424
"South Dakota","46023",0.693853772210894,0.272356539469851,0.592454835281615,0.393995749202976,0.530165912518854,0.454248366013072,0.867357548605112,1.11748949016134
"Texas","48355",0.487735431616614,0.47232536216549,0.509510530258886,0.476275701323566,0.517544206262965,0.473298429319372,1.00629047514161,0.984477314388102
"Virginia","51017",0.690147124386982,0.268836379848417,0.573099415204678,0.402159244264507,0.5546875,0.428865131578947,0.937728937728938,1.03319331191829
"Missouri","29041",0.744068652195861,0.224129227662797,0.628631248364303,0.350431824129809,0.555054579971524,0.426910299003322,0.820855868195117,1.13255753766873
"New Mexico","35009",0.664148291311605,0.243872441359923,0.67897247706422,0.295192660550459,0.664842776007757,0.32345200166228,0.912632041333517,1.02125269547382
"Montana","30083",0.806351183063512,0.138854296388543,0.755163511187608,0.215576592082616,0.705048715677591,0.266386182462356,0.809263416330087,1.07107990468695
"Nebraska","31087",0.844444444444444,0.109722222222222,0.787959866220736,0.183277591973244,0.725888324873096,0.250906453952139,0.730461847777756,1.08551114437402
"Minnesota","27103",0.470916601540694,0.440214357485765,0.447458735087433,0.525793975050389,0.436722389695807,0.541901890929022,0.970275217436468,1.02458391336222
"Virginia","51161",0.615306386966839,0.334742467447008,0.617451236894,0.365327918464572,0.599725355566454,0.388661108386464,0.939965205114656,1.02955666483503
"Oregon","41031",0.601419878296146,0.325895875591616,0.56782874617737,0.403792048929664,0.529213753306083,0.442654484251022,0.91220593780471,1.07296672210435
"Washington","53057",0.443727088690704,0.475570389013514,0.453617760408185,0.519061318279687,0.441738539169023,0.537755430698207,0.965236776141436,1.02689197383934
"Utah","49035",0.326281939520738,0.428482871035321,0.586201116294176,0.382785182779421,0.485752538151308,0.486566286092883,0.786707163484708,1.20678961045712
"Virginia","51735",0.715350014056789,0.224768062974417,0.747537292428933,0.236279200675486,0.740127388535032,0.247416843595188,0.95498429792466,1.01001166016646
"Tennessee","47035",0.776104646741197,0.197809719370294,0.738820453915317,0.247989860181408,0.678126944617299,0.306821717485999,0.808253933956694,1.08950169253674
"Kentucky","21131",0.893811219946572,0.0890471950133571,0.896767676767677,0.0874747474747475,0.812826927450534,0.174209688423925,0.502123321992774,1.10327013842962
"Nebraska","31127",0.681383855024712,0.252059308072488,0.626011200995644,0.35096453018046,0.614277489925158,0.356937248128958,0.983266756328161,1.01910164585701
"West Virginia","54089",0.710542603672375,0.24468743552713,0.629567053854277,0.34234424498416,0.543829947328819,0.430775018811136,0.794717033334409,1.15765425745048
"California","6009",0.585295961314588,0.346467269633742,0.56756632699899,0.397961993941063,0.550716553677165,0.421050373294431,0.945164804931256,1.03059609014713
"Florida","12023",0.709471703373292,0.264810426540284,0.678459669403232,0.311526709126385,0.663751422070535,0.326045221843003,0.955470861880598,1.02215927053959
"Colorado","8033",0.760975609756098,0.184552845528455,0.68995983935743,0.268273092369478,0.672144617912901,0.303204601479047,0.884792285673861,1.02650504217358
"New York","36119",0.321376675666964,0.649051798386287,0.368446660677004,0.619865773194284,0.357889232139917,0.633854988814751,0.977929943177342,1.02949915110315
