county,state,population,# total covid cases,# covid cases per 100k,# covid deaths,# covid deaths per 100k,case_fatality_rate
San Miguel County,New Mexico,27277,221,810.2,0,0.0,0.0
Tompkins County,New York,102185,678,663.5,0,0.0,0.0
Taliaferro County,Georgia,1537,31,2016.9,0,0.0,0.0
Collingsworth County,Texas,2920,22,753.4,0,0.0,0.0
Gilmer County,West Virginia,7823,87,1112.1,0,0.0,0.0
Daggett County,Utah,950,1,105.3,0,0.0,0.0
"Wrangell, City and Borough of",Alaska,2502,13,519.6,0,0.0,0.0
"Yakutat, City and Borough of",Alaska,0,0,0.0,0,0.0,0.0
McDowell County,West Virginia,17624,159,902.2,0,0.0,0.0
Wheeler County,Texas,5056,128,2531.6,0,0.0,0.0
Terrell County,Texas,776,8,1030.9,0,0.0,0.0
Sterling County,Texas,1291,23,1781.6,0,0.0,0.0
Shackelford County,Texas,3265,42,1286.4,0,0.0,0.0
Morgan County,West Virginia,17883,171,956.2,0,0.0,0.0
Roberts County,Texas,854,15,1756.4,0,0.0,0.0
Motley County,Texas,1200,18,1500.0,0,0.0,0.0
Menard County,Texas,2138,84,3928.9,0,0.0,0.0
Loving County,Texas,0,0,0.0,0,0.0,0.0
"Skagway, Municipality of",Alaska,1183,7,591.7,0,0.0,0.0
Pocahontas County,West Virginia,8247,76,921.5,0,0.0,0.0
Kent County,Texas,762,12,1574.8,0,0.0,0.0
Jeff Davis County,Texas,2274,24,1055.4,0,0.0,0.0
Irion County,Texas,1536,14,911.5,0,0.0,0.0
Hartley County,Texas,5576,191,3425.4,0,0.0,0.0
Glasscock County,Texas,1409,14,993.6,0,0.0,0.0
Delta County,Texas,5331,40,750.3,0,0.0,0.0
Grand Isle County,Vermont,7235,19,262.6,0,0.0,0.0
Childress County,Texas,7306,135,1847.8,0,0.0,0.0
Borden County,Texas,654,3,458.7,0,0.0,0.0
Ritchie County,West Virginia,9554,69,722.2,0,0.0,0.0
Tucker County,West Virginia,6839,70,1023.5,0,0.0,0.0
Calhoun County,Arkansas,5189,74,1426.1,0,0.0,0.0
Tyler County,West Virginia,8591,71,826.4,0,0.0,0.0
Sully County,South Dakota,1391,56,4025.9,0,0.0,0.0
