county,state,population,# total covid cases,# covid cases per 100k,# covid deaths,# covid deaths per 100k,case_fatality_rate
Valley County,Nebraska,4158,111,2669.6,1,24.05,0.009
Republic County,Kansas,4636,115,2480.6,1,21.57,0.009
St. Francois County,Missouri,67214,3436,5112.0,30,44.63,0.009
Fremont County,Idaho,13099,538,4107.2,5,38.17,0.009
Sedgwick County,Kansas,516047,15838,3069.1,137,26.55,0.009
Burke County,North Dakota,2115,112,5295.5,1,47.28,0.009
Stafford County,Kansas,4156,114,2743.0,1,24.06,0.009
Leon County,Florida,293579,12825,4368.5,119,40.53,0.009
Barren County,Kentucky,44249,1475,3333.4,13,29.38,0.009
Cullman County,Alabama,83767,3089,3687.6,27,32.23,0.009
Pamlico County,North Carolina,12726,335,2632.4,3,23.57,0.009
Reynolds County,Missouri,6270,107,1706.5,1,15.95,0.009
Onslow County,North Carolina,197935,3796,1917.8,33,16.67,0.009
Monroe County,Missouri,8644,225,2603.0,2,23.14,0.009
Carter County,Kentucky,26796,424,1582.3,4,14.93,0.009
Macon County,North Carolina,35859,799,2228.2,7,19.52,0.009
Montgomery County,Missouri,11551,226,1956.5,2,17.31,0.009
Clay County,Kentucky,19901,690,3467.2,6,30.15,0.009
Talbot County,Maryland,37181,668,1796.6,6,16.14,0.009
Newton County,Missouri,58236,2325,3992.4,22,37.78,0.009
Calloway County,Kentucky,39001,1137,2915.3,10,25.64,0.009
Chelan County,Washington,77200,2060,2668.4,19,24.61,0.009
Van Buren County,Tennessee,5872,228,3882.8,2,34.06,0.009
Bullitt County,Kentucky,81675,1830,2240.6,16,19.59,0.009
Kane County,Utah,7886,107,1356.8,1,12.68,0.009
Whitley County,Indiana,33963,692,2037.5,6,17.67,0.009
Carroll County,Iowa,20165,1394,6913.0,13,64.47,0.009
Appanoose County,Iowa,12426,351,2824.7,3,24.14,0.009
Scott County,Iowa,172945,5945,3437.5,51,29.49,0.009
Anderson County,Tennessee,76979,1998,2595.5,18,23.38,0.009
Oklahoma County,Oklahoma,797441,26302,3298.3,248,31.1,0.009
Huntington County,Indiana,36521,637,1744.2,6,16.43,0.009
Kendall County,Illinois,128992,3619,2805.6,31,24.03,0.009
Aurora County,South Dakota,2751,225,8178.8,2,72.7,0.009
McCook County,South Dakota,5586,351,6283.6,3,53.71,0.009
Pennington County,South Dakota,113776,5475,4812.1,51,44.83,0.009
Minnehaha County,South Dakota,193133,13821,7156.2,123,63.69,0.009
Deschutes County,Oregon,197697,1408,712.2,13,6.58,0.009
Mellette County,South Dakota,2061,108,5240.2,1,48.52,0.009
Madison County,Iowa,16338,426,2607.4,4,24.48,0.009
Hamilton County,Tennessee,367805,12818,3485.0,114,30.99,0.009
Meade County,South Dakota,28332,1149,4055.5,10,35.3,0.009
Frio County,Texas,20306,1027,5057.6,9,44.32,0.009
Union County,Tennessee,19972,577,2889.0,5,25.03,0.009
Fountain County,Indiana,16346,458,2801.9,4,24.47,0.009
Robertson County,Texas,17074,446,2612.2,4,23.43,0.009
Tipton County,Tennessee,61600,2617,4248.4,24,38.96,0.009
Marshall County,Tennessee,34375,1274,3706.2,12,34.91,0.009
Clay County,South Dakota,14070,936,6652.5,8,56.86,0.009
Washington County,Indiana,28036,462,1647.9,4,14.27,0.009
Duchesne County,Utah,19938,230,1153.6,2,10.03,0.009
Tulsa County,Oklahoma,651553,23983,3680.9,225,34.53,0.009
Van Buren County,Iowa,7044,228,3236.8,2,28.39,0.009
Marion County,Iowa,33253,1277,3840.3,12,36.09,0.009
Rutherford County,Tennessee,332283,13181,3966.8,123,37.02,0.009
Randall County,Texas,137713,6715,4876.1,63,45.75,0.009
Dawson County,Nebraska,23595,1473,6242.8,15,63.57,0.01
Solano County,California,447649,8132,1816.6,79,17.65,0.01
East Carroll Parish,Louisiana,6861,597,8701.4,6,87.45,0.01
Warren County,Kentucky,132895,5738,4317.7,58,43.64,0.01
Grady County,Oklahoma,55834,1773,3175.5,18,32.24,0.01
"Waynesboro, City of",Virginia,22630,414,1829.4,4,17.68,0.01
Madison County,Alabama,372915,10150,2721.8,106,28.42,0.01
San Benito County,California,62809,1499,2386.6,15,23.88,0.01
Kings County,California,152940,8429,5511.3,84,54.92,0.01
Okanogan County,Washington,42244,1138,2693.9,11,26.04,0.01
Bremer County,Iowa,25062,969,3866.4,10,39.9,0.01
Massac County,Illinois,13772,204,1481.3,2,14.52,0.01
Grant County,Arkansas,18265,404,2211.9,4,21.9,0.01
Lee County,North Carolina,61778,2210,3577.3,22,35.61,0.01
Davie County,North Carolina,42845,836,1951.2,8,18.67,0.01
Dubuque County,Iowa,97311,6402,6578.9,66,67.82,0.01
Garrard County,Kentucky,17666,381,2156.7,4,22.64,0.01
Dickinson County,Iowa,17258,904,5238.2,9,52.15,0.01
Custer County,Idaho,4315,103,2387.0,1,23.17,0.01
New Kent County,Virginia,23091,309,1338.2,3,12.99,0.01
Hardee County,Florida,26937,1641,6092.0,17,63.11,0.01
Thurston County,Nebraska,7224,394,5454.0,4,55.37,0.01
Bulloch County,Georgia,79607,3153,3960.7,33,41.45,0.01
Glades County,Florida,13811,624,4518.1,6,43.44,0.01
Crawford County,Iowa,16820,1479,8793.1,15,89.18,0.01
Cayuga County,New York,76579,496,647.7,5,6.53,0.01
Madison County,Texas,14284,790,5530.7,8,56.01,0.01
Menifee County,Kentucky,6489,103,1587.3,1,15.41,0.01
Ada County,Idaho,481583,18618,3866.0,188,39.04,0.01
Lubbock County,Texas,310568,21746,7002.0,225,72.45,0.01
Colusa County,California,21547,581,2696.4,6,27.85,0.01
"Fredericksburg, City of",Virginia,29036,612,2107.7,6,20.66,0.01
Knox County,Kentucky,31145,979,3143.4,10,32.11,0.01
Barbour County,West Virginia,16441,202,1228.6,2,12.16,0.01
Oxford County,Maine,57967,191,329.5,2,3.45,0.01
Clear Creek County,Colorado,9700,98,1010.3,1,10.31,0.01
Gladwin County,Michigan,25449,292,1147.4,3,11.79,0.01
DeSoto County,Mississippi,184945,8108,4384.0,83,44.88,0.01
Washington County,Minnesota,262444,7930,3021.6,77,29.34,0.01
Cheatham County,Tennessee,40667,1168,2872.1,12,29.51,0.01
Waseca County,Minnesota,18612,995,5346.0,10,53.73,0.01
Gibson County,Indiana,33659,1152,3422.6,12,35.65,0.01
Calhoun County,Texas,21290,940,4415.2,9,42.27,0.01
Sherburne County,Minnesota,97239,2504,2575.1,26,26.74,0.01
Luce County,Michigan,6229,103,1653.6,1,16.05,0.01
Midland County,Michigan,83154,1471,1769.0,14,16.84,0.01
Crawford County,Indiana,10577,195,1843.6,2,18.91,0.01
Maury County,Tennessee,96387,3954,4102.2,40,41.5,0.01
Presque Isle County,Michigan,12592,98,778.3,1,7.94,0.01
Brazos County,Texas,229213,7942,3464.9,80,34.9,0.01
Converse County,Wyoming,13822,389,2814.4,4,28.94,0.01
Scott County,Tennessee,22068,489,2215.9,5,22.66,0.01
Isanti County,Minnesota,40595,799,1968.2,8,19.71,0.01
Fremont County,Wyoming,39261,1785,4546.5,18,45.85,0.01
Adams County,Indiana,35777,1118,3124.9,11,30.75,0.01
Atchison County,Missouri,5143,102,1983.3,1,19.44,0.01
Berkeley County,West Virginia,119170,1837,1541.5,18,15.1,0.01
Collin County,Texas,1034716,19701,1904.0,198,19.14,0.01
Langlade County,Wisconsin,19189,1207,6290.1,12,62.54,0.01
Conejos County,Colorado,8205,99,1206.6,1,12.19,0.01
Lake County,Montana,30458,692,2272.0,7,22.98,0.01
Raleigh County,West Virginia,73362,927,1263.6,9,12.27,0.01
Wood County,West Virginia,83517,911,1090.8,9,10.78,0.01
Ashland County,Wisconsin,15562,384,2467.5,4,25.7,0.01
Scotland County,Missouri,4902,97,1978.8,1,20.4,0.01
Saline County,Missouri,22761,1119,4916.3,11,48.33,0.01
Craighead County,Arkansas,110331,5328,4829.1,54,48.94,0.01
Chippewa County,Wisconsin,64658,2642,4086.1,26,40.21,0.01
Caroline County,Maryland,33407,774,2316.9,8,23.95,0.01
Pulaski County,Missouri,52608,1154,2193.6,11,20.91,0.01
Polk County,Missouri,32149,1135,3530.4,11,34.22,0.01
Conway County,Arkansas,20846,390,1870.9,4,19.19,0.01
Logan County,Colorado,22409,1466,6542.0,14,62.47,0.01
Nodaway County,Missouri,22092,1110,5024.4,11,49.79,0.01
Morgan County,Missouri,20627,819,3970.5,8,38.78,0.01
Mesa County,Colorado,154211,2115,1371.5,22,14.27,0.01
"Nantucket, Town and County of",Massachusetts,11399,195,1710.7,2,17.55,0.01
Dunklin County,Missouri,29131,1316,4517.5,13,44.63,0.01
Clark County,Arkansas,22320,581,2603.0,6,26.88,0.01
Campbell County,Kentucky,93586,1637,1749.2,16,17.1,0.01
Atchison County,Kansas,16073,620,3857.4,6,37.33,0.01
Meade County,Kansas,4033,192,4760.7,2,49.59,0.01
Johnson County,Arkansas,26578,1084,4078.6,11,41.39,0.01
Ballard County,Kentucky,7888,98,1242.4,1,12.68,0.01
Eddy County,North Dakota,2287,288,12592.9,3,131.18,0.01
Sequoyah County,Oklahoma,41568,1411,3394.4,14,33.68,0.01
Wilbarger County,Texas,12769,419,3281.4,4,31.33,0.01
Marion County,Arkansas,16694,210,1257.9,2,11.98,0.01
Harvey County,Kansas,34429,946,2747.7,9,26.14,0.01
Sampson County,North Carolina,63530,2998,4719.0,31,48.8,0.01
Boone County,Kentucky,133578,2585,1935.2,25,18.72,0.01
Levy County,Florida,41502,1189,2864.9,12,28.91,0.01
Cherokee County,Kansas,19939,785,3937.0,8,40.12,0.01
Dewey County,Oklahoma,4891,97,1983.2,1,20.45,0.01
Yadkin County,North Carolina,37667,1149,3050.4,11,29.2,0.01
Sac County,Iowa,9721,497,5112.6,5,51.43,0.01
Stephens County,Oklahoma,43142,910,2109.3,9,20.86,0.01
Union County,North Carolina,239862,6323,2636.1,66,27.52,0.01
Lane County,Oregon,382073,2728,714.0,28,7.33,0.01
Franklin County,Illinois,38469,1231,3200.0,12,31.19,0.01
Monroe County,Florida,74229,2522,3397.6,25,33.68,0.01
Okmulgee County,Oklahoma,38465,1377,3579.9,14,36.4,0.01
Perry County,Alabama,8923,615,6892.3,6,67.24,0.01
Pike County,Alabama,33114,1419,4285.2,14,42.28,0.01
Essex County,Virginia,10953,203,1853.4,2,18.26,0.01
Jefferson County,Oklahoma,6002,97,1616.1,1,16.66,0.01
McClain County,Oklahoma,40474,1543,3812.3,16,39.53,0.01
Greene County,Virginia,19819,303,1528.8,3,15.14,0.01
Beaver County,Utah,6710,100,1490.3,1,14.9,0.01
Jackson County,Kansas,13171,398,3021.8,4,30.37,0.01
Ida County,Iowa,6860,293,4271.1,3,43.73,0.01
"Harrisonburg, City of",Virginia,53016,3183,6003.8,35,66.02,0.011
Ventura County,California,846011,15048,1778.7,169,19.98,0.011
Jefferson County,Indiana,32308,523,1618.8,6,18.57,0.011
"Carson City, Consolidated Municipality of",Nevada,55915,726,1298.4,8,14.31,0.011
El Paso County,Texas,839239,59852,7131.7,683,81.38,0.011
Marion County,West Virginia,56075,450,802.5,5,8.92,0.011
Clinton County,Michigan,79594,1536,1929.8,17,21.36,0.011
Marshall County,Alabama,96774,4769,4928.0,53,54.77,0.011
Carroll County,New Hampshire,48915,178,363.9,2,4.09,0.011
Franklin County,Mississippi,7713,261,3383.9,3,38.9,0.011
Montgomery County,Kentucky,28158,655,2326.2,7,24.86,0.011
Donley County,Texas,3278,92,2806.6,1,30.51,0.011
Spencer County,Indiana,20277,530,2613.8,6,29.59,0.011
Freestone County,Texas,19717,470,2383.7,5,25.36,0.011
Burleigh County,North Dakota,95626,8478,8865.8,90,94.12,0.011
Breckinridge County,Kentucky,20477,284,1386.9,3,14.65,0.011
Randolph County,Illinois,31782,1499,4716.5,17,53.49,0.011
Osage County,Oklahoma,46962,1485,3162.1,16,34.07,0.011
Whitman County,Washington,50104,1879,3750.2,21,41.91,0.011
Twin Falls County,Idaho,86878,4953,5701.1,54,62.16,0.011
Hamilton County,Illinois,8116,174,2143.9,2,24.64,0.011
McDonald County,Missouri,22837,1278,5596.2,14,61.3,0.011
Limestone County,Alabama,98914,3271,3306.9,37,37.41,0.011
Buckingham County,Virginia,17148,806,4700.3,9,52.48,0.011
Madison Parish,Louisiana,10951,907,8282.3,10,91.32,0.011
Morgan County,Georgia,19276,552,2863.7,6,31.13,0.011
Pettis County,Missouri,42339,2111,4985.9,24,56.68,0.011
Adams County,Iowa,3602,93,2581.9,1,27.76,0.011
Platte County,Missouri,104416,1168,1118.6,13,12.45,0.011
Adams County,Washington,19983,987,4939.2,11,55.05,0.011
Knox County,Indiana,36594,1097,2997.8,12,32.79,0.011
Whitfield County,Georgia,104627,6001,5735.6,67,64.04,0.011
Van Wert County,Ohio,28275,439,1552.6,5,17.68,0.011
"Staunton, City of",Virginia,24931,454,1821.0,5,20.06,0.011
Union County,Kentucky,14381,546,3796.7,6,41.72,0.011
Crawford County,Missouri,23920,795,3323.6,9,37.63,0.011
Campbell County,Virginia,54884,836,1523.2,9,16.4,0.011
Marathon County,Wisconsin,135691,6741,4967.9,71,52.32,0.011
Lee County,Iowa,33657,1218,3618.9,13,38.63,0.011
Divide County,North Dakota,2264,91,4019.4,1,44.17,0.011
Luna County,New Mexico,23709,1338,5643.4,15,63.27,0.011
Fillmore County,Nebraska,5462,176,3222.3,2,36.62,0.011
Alexander County,North Carolina,37497,1074,2864.2,12,32.0,0.011
Ward County,Texas,11998,179,1491.9,2,16.67,0.011
Boone County,Illinois,53544,2442,4560.7,26,48.56,0.011
Piatt County,Illinois,16344,379,2318.9,4,24.47,0.011
Cass County,Indiana,37689,2531,6715.5,27,71.64,0.011
Hancock County,Maine,55003,94,170.9,1,1.82,0.011
Johnston County,Oklahoma,11085,352,3175.5,4,36.09,0.011
Davidson County,North Carolina,167608,4038,2409.2,46,27.45,0.011
Kittson County,Minnesota,4298,94,2187.1,1,23.27,0.011
Fayette County,Iowa,19650,531,2702.3,6,30.53,0.011
Durham County,North Carolina,321487,9589,2982.7,102,31.73,0.011
Johnston County,North Carolina,209338,6057,2893.4,68,32.48,0.011
Clinton County,Kentucky,10218,265,2593.5,3,29.36,0.011
Garfield County,Oklahoma,61056,2664,4363.2,30,49.14,0.011
Forsyth County,Georgia,244254,5037,2062.2,55,22.52,0.011
Pender County,North Carolina,63059,1522,2413.6,17,26.96,0.011
Hamilton County,Iowa,14773,542,3668.9,6,40.62,0.011
Mecklenburg County,North Carolina,1110354,35870,3230.5,402,36.2,0.011
Beltrami County,Minnesota,47189,1154,2445.5,13,27.55,0.011
Elbert County,Colorado,26730,282,1055.0,3,11.22,0.011
Hardin County,Iowa,16846,632,3751.6,7,41.55,0.011
Kootenai County,Idaho,165699,4939,2980.7,55,33.19,0.011
Haskell County,Oklahoma,12627,453,3587.6,5,39.6,0.011
Orange County,Virginia,37052,451,1217.2,5,13.49,0.011
Canyon County,Idaho,229849,11101,4829.7,118,51.34,0.011
Sevier County,Arkansas,17007,1486,8737.6,16,94.08,0.011
St. Lawrence County,New York,107735,461,427.9,5,4.64,0.011
Muskogee County,Oklahoma,67997,2600,3823.7,28,41.18,0.011
Isabella County,Michigan,69871,1320,1889.2,15,21.47,0.011
Bear Lake County,Idaho,6125,93,1518.4,1,16.33,0.011
McKean County,Pennsylvania,40627,184,452.9,2,4.92,0.011
Davidson County,Tennessee,694151,34332,4945.9,362,52.15,0.011
Dickson County,Tennessee,53948,1931,3579.4,21,38.93,0.011
Kent County,Michigan,656958,18540,2822.1,207,31.51,0.011
Ellis County,Kansas,28553,1582,5540.6,18,63.04,0.011
Saratoga County,New York,229852,1503,653.9,17,7.4,0.011
Potter County,Texas,117415,9226,7857.6,105,89.43,0.011
Richmond County,Virginia,9023,365,4045.2,4,44.33,0.011
Lake County,Michigan,11854,91,767.7,1,8.44,0.011
Leelanau County,Michigan,21762,190,873.1,2,9.19,0.011
Otsego County,New York,59492,440,739.6,5,8.4,0.011
Hamilton County,Florida,14428,922,6390.4,10,69.31,0.011
Johnson County,Tennessee,17788,1255,7055.3,14,78.7,0.011
Custer County,South Dakota,8972,367,4090.5,4,44.58,0.011
Adams County,Illinois,65436,2640,4034.5,28,42.79,0.011
Dickinson County,Kansas,18466,445,2409.8,5,27.08,0.011
Douglas County,Illinois,19465,947,4865.1,10,51.37,0.011
Posey County,Indiana,25427,919,3614.3,11,43.26,0.012
Clermont County,Ohio,206426,3283,1590.4,41,19.86,0.012
Monroe County,Indiana,148433,3799,2559.4,46,30.99,0.012
Pickens County,Georgia,32590,854,2620.4,10,30.68,0.012
Faulk County,South Dakota,2299,241,10482.8,3,130.49,0.012
Larimer County,Colorado,356910,5142,1440.7,60,16.81,0.012
Southeast Fairbanks Census Area,Alaska,6893,82,1189.6,1,14.51,0.012
Wyoming County,West Virginia,20394,405,1985.9,5,24.52,0.012
Denton County,Texas,887204,15566,1754.5,181,20.4,0.012
Brunswick County,Virginia,16231,434,2673.9,5,30.81,0.012
Etowah County,Alabama,102269,4792,4685.7,57,55.74,0.012
St. Charles County,Missouri,402024,13071,3251.3,157,39.05,0.012
St. Johns County,Florida,264668,6965,2631.6,86,32.49,0.012
Milwaukee County,Wisconsin,945720,50701,5361.1,616,65.14,0.012
Perry County,Arkansas,10455,172,1645.1,2,19.13,0.012
Winona County,Minnesota,50484,1606,3181.2,20,39.62,0.012
Campbell County,Tennessee,39842,1192,2991.8,14,35.14,0.012
Taylor County,Florida,21569,1525,7070.3,18,83.45,0.012
Carter County,Oklahoma,48111,1020,2120.1,12,24.94,0.012
Racine County,Wisconsin,196312,10209,5200.4,123,62.66,0.012
Humphreys County,Tennessee,18582,496,2669.2,6,32.29,0.012
Walton County,Florida,74071,2721,3673.5,32,43.2,0.012
Cleveland County,Oklahoma,284012,9058,3189.3,110,38.73,0.012
Burleson County,Texas,18443,496,2689.4,6,32.53,0.012
Ottawa County,Michigan,291825,6979,2391.5,84,28.78,0.012
Latimer County,Oklahoma,10073,246,2442.2,3,29.78,0.012
Blount County,Alabama,57826,2253,3896.2,26,44.96,0.012
Dakota County,Minnesota,429023,11938,2782.6,144,33.56,0.012
Benton County,Minnesota,40889,1416,3463.0,17,41.58,0.012
Baldwin County,Alabama,223237,7134,3195.7,83,37.18,0.012
Blount County,Tennessee,133088,3799,2854.5,45,33.81,0.012
Alcorn County,Mississippi,36953,1193,3228.4,14,37.89,0.012
Bedford County,Tennessee,49713,1926,3874.2,23,46.27,0.012
Pottawattamie County,Iowa,93206,3836,4115.6,47,50.43,0.012
Mississippi County,Missouri,13180,511,3877.1,6,45.52,0.012
Marion County,Missouri,28530,1145,4013.3,14,49.07,0.012
Moffat County,Colorado,13283,85,639.9,1,7.53,0.012
Bradford County,Florida,28201,1258,4460.8,15,53.19,0.012
Shelby County,Ohio,48591,1200,2469.6,14,28.81,0.012
Knox County,Missouri,3959,81,2046.0,1,25.26,0.012
Howell County,Missouri,40117,1339,3337.7,16,39.88,0.012
Somerset County,Maryland,25617,484,1889.4,6,23.42,0.012
Kosciusko County,Indiana,79456,2715,3417.0,33,41.53,0.012
Lincoln County,Wisconsin,27593,1199,4345.3,14,50.74,0.012
Benzie County,Michigan,17767,172,968.1,2,11.26,0.012
Clark County,Missouri,6797,167,2457.0,2,29.43,0.012
Branch County,Michigan,43517,1164,2674.8,14,32.17,0.012
Augusta County,Virginia,75559,750,992.6,9,11.91,0.012
Sangamon County,Illinois,194673,5511,2830.9,67,34.42,0.012
Oneida County,Wisconsin,35595,1559,4379.8,18,50.57,0.012
DeKalb County,Missouri,12547,403,3211.9,5,39.85,0.012
Androscoggin County,Maine,108277,951,878.3,11,10.16,0.012
"Manassas Park, City of",Virginia,17478,665,3804.8,8,45.77,0.012
Dawson County,Montana,8613,331,3843.0,4,46.44,0.012
Warren County,Pennsylvania,39197,82,209.2,1,2.55,0.012
Cameron Parish,Louisiana,6973,253,3628.3,3,43.02,0.012
Van Buren County,Arkansas,16545,242,1462.7,3,18.13,0.012
Owyhee County,Idaho,11823,426,3603.1,5,42.29,0.012
Lafayette County,Florida,8422,1290,15317.0,16,189.98,0.012
Livingston County,Illinois,35648,964,2704.2,12,33.66,0.012
Adair County,Iowa,7152,260,3635.3,3,41.95,0.012
Benton County,Oregon,93053,501,538.4,6,6.45,0.012
Hays County,Texas,230191,6313,2742.5,76,33.02,0.012
Richardson County,Nebraska,7865,167,2123.3,2,25.43,0.012
Saline County,Kansas,54225,1347,2484.1,16,29.51,0.012
Frederick County,Virginia,89315,1289,1443.2,15,16.79,0.012
Kern County,California,900205,35063,3895.0,429,47.66,0.012
Taylor County,Kentucky,25769,575,2231.4,7,27.16,0.012
"San Francisco, City and County of",California,881523,12753,1446.7,151,17.13,0.012
Seneca County,New York,34019,167,490.9,2,5.88,0.012
Pulaski County,Kentucky,64978,1067,1642.1,13,20.01,0.012
Dixie County,Florida,16826,919,5461.8,11,65.38,0.012
Dawson County,Georgia,26108,945,3619.6,11,42.13,0.012
Boone County,Iowa,26234,864,3293.4,10,38.12,0.012
Custer County,Montana,11402,404,3543.2,5,43.85,0.012
Wake County,North Carolina,1111780,22727,2044.2,277,24.92,0.012
Clearfield County,Pennsylvania,79252,568,716.7,7,8.83,0.012
Pittsylvania County,Virginia,60353,1416,2346.2,17,28.17,0.012
Saline County,Arkansas,122439,3287,2684.6,40,32.67,0.012
Morrow County,Oregon,11603,569,4903.9,7,60.33,0.012
Monroe County,Kentucky,10650,434,4075.1,5,46.95,0.012
Macoupin County,Illinois,44927,1021,2272.6,12,26.71,0.012
Dallas County,Iowa,93453,4097,4384.0,51,54.57,0.012
Calhoun County,Iowa,9668,417,4313.2,5,51.72,0.012
Churchill County,Nevada,24908,346,1389.1,4,16.06,0.012
Clay County,North Carolina,11231,253,2252.7,3,26.71,0.012
Faulkner County,Arkansas,126005,3683,2922.9,44,34.92,0.012
Boyd County,Nebraska,1919,85,4429.4,1,52.11,0.012
Hancock County,Iowa,10630,491,4619.0,6,56.44,0.012
Beadle County,South Dakota,18453,1563,8470.2,19,102.96,0.012
Greene County,Arkansas,45325,1858,4099.3,22,48.54,0.012
Vanderburgh County,Indiana,181450,7162,3947.1,88,48.5,0.012
Moultrie County,Illinois,14501,565,3896.3,7,48.27,0.012
Polk County,Arkansas,19964,422,2113.8,5,25.05,0.012
Camden County,Georgia,54666,1492,2729.3,18,32.93,0.012
Washington County,Oregon,601571,6663,1107.6,83,13.8,0.012
Campbell County,South Dakota,1376,85,6177.3,1,72.67,0.012
Culpeper County,Virginia,52605,1479,2811.5,18,34.22,0.012
Alexander County,Illinois,5761,170,2950.9,2,34.72,0.012
Orange County,Florida,1393448,48322,3467.8,576,41.34,0.012
Delta County,Colorado,31164,248,795.8,3,9.63,0.012
Dodge County,Nebraska,36565,1977,5406.8,23,62.9,0.012
Ohio County,West Virginia,41411,735,1774.9,9,21.73,0.012
Lemhi County,Idaho,8027,335,4173.4,4,49.83,0.012
White County,Tennessee,27345,1343,4911.3,16,58.51,0.012
Fulton County,Kentucky,5969,244,4087.8,3,50.26,0.012
Gooding County,Idaho,15179,723,4763.2,9,59.29,0.012
Deer Lodge County,Montana,9140,503,5503.3,6,65.65,0.012
Valley County,Montana,7396,433,5854.5,5,67.6,0.012
Steuben County,Indiana,34594,850,2457.1,10,28.91,0.012
Bryan County,Georgia,39627,1330,3356.3,16,40.38,0.012
Gem County,Idaho,18112,491,2710.9,6,33.13,0.012
Teller County,Colorado,25389,302,1189.5,4,15.75,0.013
Winston County,Alabama,23629,1019,4312.5,13,55.02,0.013
Tuscaloosa County,Alabama,209354,11025,5266.2,146,69.74,0.013
Mitchell County,North Carolina,14964,309,2065.0,4,26.73,0.013
Sherman County,Texas,3022,80,2647.3,1,33.09,0.013
Mitchell County,Texas,8545,229,2679.9,3,35.11,0.013
Russell County,Virginia,26586,594,2234.3,8,30.09,0.013
Saguache County,Colorado,6824,159,2330.0,2,29.31,0.013
Umatilla County,Oregon,77949,3593,4609.4,45,57.73,0.013
Genesee County,New York,57281,450,785.6,6,10.47,0.013
Calhoun County,Alabama,113605,5077,4469.0,67,58.98,0.013
Shawano County,Wisconsin,40899,2935,7176.2,38,92.91,0.013
Scurry County,Texas,16703,1227,7346.0,16,95.79,0.013
Miller County,Arkansas,43257,1758,4064.1,22,50.86,0.013
Halifax County,Virginia,33911,614,1810.6,8,23.59,0.013
Marshall County,Minnesota,9336,233,2495.7,3,32.13,0.013
Putnam County,Tennessee,80245,4779,5955.5,63,78.51,0.013
Catawba County,North Carolina,159553,4994,3130.0,63,39.49,0.013
Forsyth County,North Carolina,382295,9682,2532.6,126,32.96,0.013
Morgan County,Tennessee,21403,480,2242.7,6,28.03,0.013
Person County,North Carolina,39490,749,1896.7,10,25.32,0.013
Sequatchie County,Tennessee,15026,398,2648.7,5,33.28,0.013
Le Flore County,Oklahoma,49854,1872,3755.0,25,50.15,0.013
Madison County,Arkansas,16576,460,2775.1,6,36.2,0.013
Lewis County,Tennessee,12268,551,4491.4,7,57.06,0.013
Lawrence County,Tennessee,44142,1876,4249.9,24,54.37,0.013
Lauderdale County,Tennessee,25633,1556,6070.3,20,78.02,0.013
Taylor County,Wisconsin,20343,683,3357.4,9,44.24,0.013
Wilson County,Tennessee,144657,5237,3620.3,66,45.63,0.013
Burnet County,Texas,48156,1137,2361.1,15,31.15,0.013
Clarion County,Pennsylvania,38437,298,775.3,4,10.41,0.013
Mower County,Minnesota,40062,1647,4111.1,21,52.42,0.013
Benton County,Missouri,19443,560,2880.2,7,36.0,0.013
Wadena County,Minnesota,13682,376,2748.1,5,36.54,0.013
Holt County,Nebraska,10067,376,3735.0,5,49.67,0.013
Galveston County,Texas,342138,12979,3793.5,170,49.69,0.013
Santa Barbara County,California,446502,10128,2268.3,131,29.34,0.013
Miner County,South Dakota,2216,152,6859.2,2,90.25,0.013
Marlboro County,South Carolina,26118,1189,4552.4,15,57.43,0.013
Marion County,Ohio,65092,3705,5691.9,50,76.81,0.013
Mountrail County,North Dakota,10545,694,6581.3,9,85.35,0.013
Pope County,Arkansas,64072,2944,4594.8,38,59.31,0.013
Oconee County,South Carolina,79546,2617,3289.9,34,42.74,0.013
Crawford County,Ohio,41494,680,1638.8,9,21.69,0.013
Comanche County,Texas,13635,391,2867.6,5,36.67,0.013
Doddridge County,West Virginia,8448,77,911.5,1,11.84,0.013
Lamar County,Alabama,13805,544,3940.6,7,50.71,0.013
Caroline County,Virginia,30726,467,1519.9,6,19.53,0.013
Butler County,Ohio,383141,10395,2713.1,134,34.97,0.013
Yellowstone County,Montana,161299,7552,4682.0,97,60.14,0.013
Dallas County,Texas,2635485,99761,3785.3,1307,49.59,0.013
Auglaize County,Ohio,45656,1460,3197.8,19,41.62,0.013
Crawford County,Arkansas,63257,2334,3689.7,31,49.01,0.013
Mineral County,West Virginia,26868,302,1124.0,4,14.89,0.013
Rolette County,North Dakota,14176,759,5354.1,10,70.54,0.013
Douglas County,Colorado,351155,5182,1475.7,68,19.36,0.013
Pendleton County,West Virginia,6969,79,1133.6,1,14.35,0.013
Placer County,California,398336,4692,1177.9,60,15.06,0.013
Fayette County,Pennsylvania,129271,1154,892.7,15,11.6,0.013
Nevada County,California,99757,699,700.7,9,9.02,0.013
Jefferson County,Missouri,225084,6825,3032.2,90,39.99,0.013
Washington County,Arkansas,239186,12325,5152.9,159,66.48,0.013
Lea County,New Mexico,71070,2438,3430.4,32,45.03,0.013
Clarke County,Alabama,23622,1436,6079.1,18,76.2,0.013
Do\xc3\xb1a Ana County,New Mexico,218192,7887,3614.7,100,45.83,0.013
York County,Virginia,68279,686,1004.7,9,13.18,0.013
Noble County,Oklahoma,11131,239,2147.2,3,26.95,0.013
Washington County,Vermont,58411,150,256.8,2,3.42,0.013
Pontotoc County,Mississippi,32174,1659,5156.3,21,65.27,0.013
