fips,biden,trump,other
08071,0.439,0.5379999999999999,0.023
08073,0.177,0.805,0.017
08075,0.21100000000000002,0.768,0.022000000000000002
08077,0.348,0.628,0.024
08079,0.419,0.565,0.016
08081,0.171,0.807,0.022000000000000002
08083,0.376,0.6,0.023
08085,0.308,0.6729999999999999,0.019
08087,0.282,0.698,0.02
08089,0.376,0.601,0.022000000000000002
08091,0.588,0.392,0.019
08093,0.39899999999999997,0.569,0.032
08095,0.196,0.7879999999999999,0.017
08097,0.752,0.233,0.016
08099,0.262,0.721,0.017
08101,0.496,0.479,0.026000000000000002
08103,0.152,0.8290000000000001,0.019
08105,0.396,0.581,0.024
08107,0.627,0.35100000000000003,0.022000000000000002
08109,0.556,0.41700000000000004,0.027000000000000003
08111,0.609,0.359,0.032
08113,0.762,0.221,0.017
08115,0.20800000000000002,0.775,0.017
08117,0.6829999999999999,0.28800000000000003,0.028999999999999998
08119,0.312,0.664,0.025
08121,0.12300000000000001,0.863,0.015
08123,0.396,0.5760000000000001,0.028999999999999998
08125,0.158,0.825,0.018000000000000002
09001,0.63,0.357,0.013
09003,0.631,0.354,0.015
09005,0.467,0.517,0.016
09007,0.573,0.41,0.017
09009,0.581,0.407,0.013
09011,0.569,0.409,0.022
09013,0.547,0.433,0.021
09015,0.468,0.511,0.021
10001,0.512,0.471,0.017
10003,0.678,0.307,0.015
10005,0.438,0.551,0.011
11001,0.929,0.055,0.016
12001,0.629,0.358,0.013
12003,0.145,0.847,0.008
12005,0.275,0.711,0.014
12007,0.232,0.758,0.01
12009,0.412,0.576,0.012
12011,0.646,0.348,0.006
12013,0.185,0.808,0.007
12015,0.363,0.63,0.007
12017,0.291,0.701,0.008
12019,0.308,0.679,0.013
12021,0.374,0.621,0.006
12023,0.27,0.721,0.009
12027,0.336,0.657,0.007
12029,0.167,0.828,0.005
12031,0.513,0.474,0.013
12033,0.416,0.568,0.016
12035,0.393,0.6,0.007
12037,0.309,0.683,0.008
12039,0.68,0.314,0.006
12041,0.176,0.815,0.009
12043,0.267,0.728,0.005
12045,0.243,0.749,0.008
12047,0.337,0.655,0.009
12049,0.271,0.722,0.008
12051,0.381,0.611,0.008
12053,0.344,0.646,0.009
12055,0.325,0.668,0.007
12057,0.529,0.46,0.012
12059,0.102,0.891,0.007
12061,0.388,0.604,0.008
12063,0.302,0.691,0.007
12065,0.461,0.53,0.009
12067,0.139,0.855,0.005
12069,0.395,0.596,0.009
12071,0.4,0.592,0.007
12073,0.636,0.353,0.012
12075,0.268,0.724,0.008
12077,0.195,0.799,0.006
12079,0.4,0.595,0.006
12081,0.416,0.576,0.008
12083,0.366,0.625,0.008
12085,0.374,0.62,0.007
12086,0.534,0.461,0.005
12087,0.456,0.535,0.009
12089,0.265,0.724,0.011
12091,0.294,0.686,0.02
12093,0.275,0.719,0.006
12095,0.61,0.379,0.011
12097,0.564,0.426,0.009
12099,0.561,0.433,0.006
12101,0.394,0.595,0.011
12103,0.496,0.494,0.011
12105,0.423,0.567,0.01
12107,0.289,0.702,0.009
12109,0.361,0.628,0.01
12111,0.489,0.504,0.007
12113,0.258,0.724,0.018
12115,0.444,0.548,0.008
12117,0.508,0.48,0.012
12119,0.317,0.679,0.004
12121,0.213,0.779,0.008
12123,0.227,0.765,0.007
12125,0.169,0.822,0.009
12127,0.425,0.565,0.01
12129,0.291,0.7,0.01
12131,0.236,0.754,0.01
12133,0.19,0.801,0.008
13001,0.213,0.782,0.004
13003,0.262,0.729,0.009
13005,0.134,0.861,0.005
13007,0.419,0.577,0.004
13009,0.501,0.488,0.011
13011,0.106,0.886,0.008
13013,0.276,0.707,0.018
13015,0.24,0.747,0.014
13017,0.365,0.626,0.009
13019,0.164,0.829,0.007
13021,0.614,0.375,0.011
13023,0.23,0.758,0.012
13025,0.09,0.903,0.007
13027,0.393,0.6,0.007
13029,0.316,0.668,0.017
13031,0.374,0.611,0.015
13033,0.488,0.505,0.007
13035,0.278,0.714,0.008
13037,0.574,0.421,0.005
13039,0.336,0.644,0.02
13043,0.286,0.707,0.007
13045,0.298,0.688,0.014
13047,0.213,0.772,0.015
13049,0.242,0.749,0.01
13051,0.587,0.399,0.015
13053,0.422,0.556,0.022
13055,0.184,0.802,0.013
13057,0.295,0.688,0.017
13059,0.702,0.281,0.016
13061,0.551,0.444,0.005
13063,0.85,0.141,0.009
13065,0.261,0.735,0.004
13067,0.563,0.42,0.016
13069,0.296,0.695,0.008
13071,0.26,0.732,0.007
13073,0.363,0.621,0.017
13075,0.293,0.697,0.011
13077,0.315,0.671,0.014
13079,0.265,0.726,0.01
13081,0.371,0.62,0.008
13083,0.17,0.816,0.014
13085,0.155,0.833,0.012
13087,0.411,0.581,0.008
13089,0.831,0.158,0.011
13091,0.269,0.724,0.007
13093,0.466,0.526,0.009
13095,0.696,0.296,0.008
13097,0.62,0.368,0.012
13099,0.47,0.525,0.005
13101,0.116,0.872,0.013
13103,0.244,0.74,0.016
13105,0.314,0.679,0.007
13107,0.303,0.69,0.007
13109,0.312,0.68,0.008
13111,0.173,0.82,0.007
13113,0.461,0.525,0.014
13115,0.284,0.703,0.013
13117,0.326,0.658,0.015
13119,0.148,0.843,0.01
13121,0.727,0.262,0.012
13123,0.177,0.813,0.01
13125,0.099,0.896,0.005
13127,0.378,0.61,0.012
13129,0.182,0.807,0.01
13131,0.338,0.657,0.005
13133,0.364,0.628,0.008
13135,0.584,0.402,0.014
13137,0.174,0.814,0.011
13139,0.277,0.709,0.015
13141,0.717,0.278,0.005
13143,0.126,0.866,0.009
13145,0.273,0.716,0.011
13147,0.248,0.744,0.008
13149,0.153,0.838,0.009
13151,0.597,0.393,0.01
13153,0.431,0.555,0.014
13155,0.242,0.752,0.006
13157,0.203,0.783,0.014
13159,0.23,0.762,0.008
13161,0.178,0.814,0.008
13163,0.531,0.463,0.006
13165,0.366,0.625,0.008
13167,0.298,0.695,0.007
13169,0.327,0.666,0.008
13171,0.289,0.7,0.01
13173,0.285,0.702,0.013
13175,0.355,0.638,0.007
13177,0.273,0.718,0.009
13179,0.612,0.372,0.016
13181,0.309,0.684,0.008
13183,0.359,0.624,0.017
13185,0.434,0.554,0.012
13187,0.201,0.783,0.016
13189,0.399,0.59,0.011
13191,0.39,0.6,0.01
13193,0.613,0.383,0.005
13195,0.228,0.758,0.013
13197,0.362,0.628,0.011
13199,0.394,0.6,0.006
13201,0.264,0.729,0.007
13205,0.446,0.551,0.004
13207,0.281,0.709,0.009
13209,0.247,0.746,0.007
13211,0.287,0.703,0.01
13213,0.15,0.841,0.009
13215,0.615,0.373,0.012
13217,0.549,0.44,0.011
13219,0.324,0.659,0.016
13221,0.3,0.688,0.013
13223,0.348,0.639,0.014
13225,0.472,0.518,0.01
13227,0.164,0.822,0.014
13229,0.122,0.873,0.005
13231,0.14,0.851,0.008
13233,0.21,0.781,0.009
13235,0.3,0.691,0.009
13237,0.291,0.699,0.01
13239,0.449,0.546,0.004
13241,0.207,0.781,0.011
13243,0.544,0.453,0.004
13245,0.68,0.308,0.013
13247,0.699,0.291,0.01
13249,0.203,0.791,0.006
13251,0.402,0.591,0.008
13253,0.323,0.672,0.005
13255,0.391,0.6,0.009
13257,0.201,0.788,0.011
13259,0.594,0.403,0.004
13261,0.52,0.472,0.008
13263,0.6,0.395,0.004
13265,0.605,0.388,0.008
13267,0.252,0.74,0.008
13269,0.361,0.63,0.009
13271,0.343,0.652,0.005
13273,0.538,0.454,0.008
13275,0.399,0.593,0.009
13277,0.327,0.662,0.011
13279,0.269,0.721,0.009
13281,0.194,0.8,0.006
13283,0.309,0.683,0.008
13285,0.385,0.604,0.011
13287,0.372,0.62,0.009
13289,0.46,0.533,0.007
13291,0.18,0.813,0.007
13293,0.326,0.667,0.007
13295,0.197,0.79,0.014
13297,0.248,0.741,0.011
13299,0.297,0.695,0.008
13301,0.554,0.44,0.006
13303,0.5,0.493,0.007
13305,0.21,0.782,0.008
13307,0.46,0.538,0.002
13309,0.301,0.693,0.006
13311,0.163,0.825,0.012
13313,0.29,0.698,0.012
13315,0.263,0.732,0.005
13317,0.43,0.561,0.009
13319,0.435,0.559,0.007
13321,0.258,0.736,0.007
15001,0.669,0.306,0.025
15003,0.625,0.357,0.018
15007,0.634,0.346,0.021
15009,0.666,0.311,0.023
16001,0.465,0.504,0.031
16003,0.229,0.751,0.021
16005,0.371,0.59,0.039
16007,0.106,0.879,0.015
16009,0.197,0.78,0.024
16011,0.206,0.765,0.029
16013,0.671,0.303,0.025
16015,0.251,0.722,0.027
16017,0.304,0.672,0.024
16019,0.264,0.7,0.036
16021,0.193,0.782,0.025
16023,0.133,0.85,0.018
16025,0.198,0.672,0.13
16027,0.286,0.683,0.031
16029,0.126,0.851,0.023
16031,0.152,0.821,0.027
16033,0.132,0.849,0.019
16035,0.199,0.781,0.02
16037,0.22,0.763,0.017
16039,0.255,0.71,0.035
16041,0.099,0.877,0.024
16043,0.148,0.826,0.026
16045,0.181,0.798,0.021
16047,0.208,0.77,0.022
16049,0.163,0.815,0.022
16051,0.117,0.854,0.029
16053,0.242,0.734,0.024
16055,0.272,0.702,0.026
16057,0.498,0.461,0.042
16059,0.218,0.758,0.024
16061,0.187,0.796,0.017
16063,0.213,0.757,0.029
16065,0.156,0.792,0.052
16067,0.194,0.784,0.022
16069,0.319,0.655,0.026
16071,0.102,0.876,0.022
16073,0.172,0.805,0.023
16075,0.191,0.785,0.024
16077,0.281,0.688,0.03
16079,0.28,0.697,0.023
16081,0.523,0.45,0.027
16083,0.257,0.71,0.033
16085,0.421,0.559,0.02
16087,0.201,0.777,0.022
17001,0.257,0.723,0.02
17003,0.425,0.568,0.007
17005,0.281,0.692,0.027
17007,0.42,0.558,0.022
17009,0.193,0.766,0.041
17011,0.381,0.599,0.02
17013,0.244,0.739,0.018
17015,0.342,0.637,0.021
17017,0.304,0.682,0.015
17019,0.6,0.372,0.028
17021,0.266,0.715,0.019
17023,0.239,0.745,0.016
17025,0.164,0.817,0.019
17027,0.234,0.747,0.019
17029,0.356,0.622,0.022
