"fips","dem_amount","rep_amount"
37113,29475.9086666817,22287.2913406623
37115,17882.9938380183,13521.6694493867
37117,18446.0759239315,13947.4264511256
37119,912732.222753694,690134.075069787
37121,12300.6720198624,9300.77047302333
37123,22336.6854314167,16889.1897930676
37125,82925.1398933249,62701.264723242
37127,77514.6197626958,58610.2682481391
37129,192740.942963993,145735.067837557
37131,16015.3697516024,12109.5235983636
37133,162708.528352547,123026.991839701
37135,122049.891661393,92284.2285988113
37137,10460.9965333312,7909.75708632016
37139,32736.0306414728,24752.3311492703
37141,51836.4326097648,39194.5058827086
37143,11066.8235367152,8367.83432760713
37145,32461.4767484873,24544.7357644808
37147,148573.112952016,112338.937238384
37149,17035.4936473956,12880.8585460395
37151,118096.808812989,89295.2279836837
37153,36850.2289480359,27863.1542057714
37155,107376.054704258,81189.0632878022
37157,74811.8257503123,56566.6346397924
37159,116798.842953636,88313.8114789454
37161,55099.0206374869,41661.4103205213
37163,52223.6029199328,39487.2526678458
37165,28625.1204054843,21643.9942650422
37167,51627.6401282728,39036.6339433776
37169,37476.6063925117,28336.7700237641
37171,59006.8925154891,44616.2260668961
37173,11731.0137927998,8870.04112673857
37175,28265.0766775573,21371.7584011566
37177,3301.22285697455,2496.11696201963
37179,197168.329992794,149082.698803054
37181,36608.5557607972,27680.4205437112
37183,913887.157543049,691007.343080653
37185,16219.2301272323,12263.6662792852
37187,9518.96431368658,7197.46873012631
37189,46178.4851683913,34916.4249440679
37191,101215.854482603,76531.2195344717
37193,56235.871038681,42521.0043838861
37195,67241.8652697648,50842.8445244441
37197,30962.9385840788,23411.6627510939
37199,14853.0368034545,11230.6616998836
41001,32509.3525185572,10787.6294797377
41003,187614.288012236,62256.3437098754
41005,843152.356839361,279784.570158959
41007,81099.9873298464,26911.5361072295
41009,105556.601448557,35027.0127624775
41011,130019.264194009,43144.4965430318
41013,49203.562320942,16327.2953251996
41015,46221.5893381247,15337.7825491805
41017,398588.372494331,132264.205352785
41019,223758.86520153,74250.2554987155
41021,3854.99144228983,1279.20786189894
41023,14514.6879670735,4816.4316934155
41025,14905.8324962598,4946.22579655797
41027,47142.9968115172,15643.5346375109
41029,445469.262147116,147820.764560355
41031,49715.6793849282,16497.2319344686
41033,176392.069200633,58532.4572248704
41035,137582.063827915,45654.072217709
41037,15865.5479390056,5264.68967849515
41039,770326.890889827,255618.781470785
41041,100733.829727869,33426.6648515663
41043,261601.090295849,86807.5004568646
41045,61637.5226894574,20453.2759132387
41047,701273.751817137,232704.76993199
41049,23394.0720213854,7762.89164310322
41051,1638885.49624608,543833.946958086
41053,173565.344304142,57594.460665047
41055,3588.85186573008,1190.89434842056
41057,54510.2241808305,18088.213260617
41059,157163.484794191,52151.8058760576
41061,54104.9661892509,17953.7358650931
41063,14532.8338472935,4822.45306933449
41065,53796.4862255112,17851.3724744704
41067,1212935.15258893,402490.175761247
41069,2685.59027255756,891.163636009092
41071,215935.974617804,71654.3734358662
27001,22539.2075584983,8477.45011384673
27003,506402.90198834,190468.335143163
27005,48839.6790750464,18369.587389459
27007,66950.7822151843,25181.5382079944
27009,58013.7012375322,21820.1219756439
27011,7081.27816470257,2663.41140112105
27013,95986.7184284959,36102.5388739817
