fips,popestimate,netmig,race_white,race_black,race_hispanic,race_aac,age_0_to_19_years,age_20_to_39_years,age_40_to_59_years,age_60_to_79_years,age_80_years_or_older
01035,12067,-166,0.5175271401342504,0.4607607524654015,0.02295516698433745,0.004723626419159692,0.22607110300820418,0.21430347227977128,0.2479489516864175,0.2543299908842297,0.05734648214137731
01037,10663,55,0.6675419675513458,0.3089186907999625,0.026259026540373254,0.0043139829316327484,0.18024946075213355,0.20078777079621118,0.28706742942886615,0.27787677013973555,0.05401856888305355
01039,37049,230,0.8451240249399444,0.12518556506248482,0.018543010607573754,0.006531890199465573,0.2394396609895004,0.22351480471807605,0.24902156603417097,0.23360954411725013,0.054414424141002456
01041,13772,-11,0.7216816729596283,0.2388178913738019,0.024179494626778972,0.01299738600058089,0.2487656113854197,0.22901539355213477,0.2560993319779262,0.22175428405460354,0.04436537902991577
01043,83768,414,0.9572629166268742,0.013800019100372457,0.04479037341228154,0.009144303313914621,0.2459650463184032,0.24269410753509693,0.25674481902397095,0.21351828860662783,0.04107773851590106
01045,49172,-71,0.7376759131212886,0.20975351826242578,0.07016188074513952,0.021617993980314,0.25056942975677216,0.27287887415602374,0.23887578296591555,0.19730741072154884,0.040368502399739686
01047,37196,-997,0.2758092267985805,0.7070652758361115,0.011533498225615658,0.005807076029680611,0.2605925368319174,0.23177223357350252,0.24438111624905903,0.22023873534788688,0.043015377997634156
01049,71513,134,0.9271461132940864,0.018737851859102542,0.15065792233579908,0.006949785353711912,0.263490554164977,0.2355795449778362,0.26077776068686814,0.20210311411911122,0.038049026051207475
01051,81209,92,0.7568249824526838,0.21154059279143939,0.0315605413193119,0.012006058441798324,0.246154982822101,0.26531542070460173,0.2679136548904678,0.18911696979398834,0.03149897178884114
01053,36633,165,0.6227991155515519,0.31255971391914394,0.025987497611443235,0.006278492069991538,0.2453798487702345,0.2535418884612235,0.2563262632053067,0.20222204023694484,0.0425299593262905
01055,102268,-25,0.8067137325458599,0.15744905542300622,0.041361911839480583,0.010492040520984082,0.2357042281065436,0.24131693198263388,0.26091250440020336,0.2197754918449564,0.04229084366566277
01057,16302,-92,0.8575634891424365,0.11661145871672188,0.020549625812783707,0.006440927493559073,0.2310759416022574,0.22518709360814623,0.25549012391117654,0.23947981842718685,0.048767022451232975
01059,31362,1,0.9169376953000447,0.04377909572093616,0.1787513551431669,0.005006058287099037,0.2706460047190868,0.24127925514954404,0.2555002869714942,0.19176072954530962,0.040813723614565395
01061,26271,55,0.871493281565224,0.0930684024209204,0.0416809409615165,0.005671653153667542,0.24102622663773743,0.21837767880933348,0.2607818507099083,0.23181454836131096,0.04799969548170987
01063,8111,-101,0.1849340401923314,0.7991616323511281,0.01713722105782271,0.004068548884231291,0.23757859696708175,0.2242633460732339,0.22685242263592653,0.2552089754654173,0.056096658858340524
01065,14651,-106,0.4070029349532455,0.5801651764384683,0.01426523786772234,0.0039587741451095485,0.2535663094669306,0.2377994676131322,0.2408709303119241,0.22005323868677906,0.04771005392123404
01067,17205,78,0.7157802964254577,0.2588782330717815,0.026910781749491425,0.0064516129032258064,0.22336530078465563,0.21365882011043302,0.2566114501598373,0.25324033711130484,0.05312409183376925
01069,105882,947,0.6882378496817212,0.2736631344326703,0.03429289208741807,0.014818382727942427,0.2514119491509416,0.24888082960276534,0.2539997355546741,0.20346234487448292,0.042245140817136054
01071,51626,121,0.9137450122031534,0.0349242629682718,0.03068221438809902,0.007418742494092124,0.22808274900244063,0.22463487390074768,0.2667841785147019,0.23561771200557857,0.0448804865765312
01073,658573,-1915,0.5307171718245358,0.43466859406626146,0.04080489178876146,0.021576955022450054,0.2526948417259742,0.2749232051723955,0.24491893837129672,0.1885425002239691,0.038920514506364516
01075,13805,-65,0.8752625860195581,0.10329590727997102,0.019051068453458893,0.0030423759507424847,0.23346613545816733,0.21195219123505976,0.2596160811300254,0.23636363636363636,0.058601955813111194
01077,92729,390,0.8695553710274024,0.1001736242168038,0.02859946726482546,0.0106115670394375,0.22535560612106245,0.2585491054578395,0.24188765111238125,0.22590559587615525,0.04830204143256155
01079,32924,66,0.7823168509294132,0.10879601506499818,0.023660551573320376,0.005041914712671607,0.23639290487182602,0.22910338962458995,0.27451099501883125,0.21987000364475762,0.04012270683999514
01081,164542,191,0.7074850190224988,0.22935177644613533,0.03701790424329351,0.04729491558386309,0.2573932491400372,0.33369595604769603,0.2324209016542889,0.15151754567222958,0.02497234748574832
