Financial.services.and.insurance,Gasoline.and.other.energy.goods,Health.care,Other.nondurable.goods,Personal.consumption.expenditures,Food,Household,Nonprofit,nondurable_goods,durable_goods,goods_clothing_footwear,services,Recreation,transportation,fips
5.855771690999941e-4,0.0021706185745185634,0.004769981162063749,0.002606849516066393,0.5157913915931636,0.008874505052882535,0.24050878529410039,1.517903205124998e-4,0.10805546051794233,0.007701498647913964,0.021089627359192772,0.005159148921057388,7.295028828186813e-5,0.0020333060760406112,01035
0.005399507622731886,5.158544229593869e-4,4.1883758957261965e-4,0.050192008976637996,0.027372389351506574,0.00202353549597081,0.006882915985139629,0.0026468742971527625,0.007035590064534039,0.009900153093062726,0.007733934752149298,0.058690718914611216,0.0012321446398574018,0.0021145640023440943,01037
6.277408140744784e-4,0.006300721752029416,0.019734274387702564,0.005274461626768672,0.18317090834981908,0.24049608771682388,0.12330452066590694,0.11616397510358031,0.014536095810176255,0.006600185774036581,0.10176845072654052,0.002773642468688165,0.007731224302093123,9.394611027173747e-5,01039
4.4051548412833783e-5,8.239540434493155e-5,5.109259413415591e-4,5.873362845630201e-5,0.001760278302159025,4.561789713453182e-4,0.0032236132423001627,5.540176876649104e-4,3.005866947866908e-4,2.703320925714448e-4,2.652790945043891e-4,0.0012150934427566263,0.0010147447461621927,1.781475814775655e-4,01041
0.00854886927674455,1.5126518075128212e-4,2.5800431448540174e-4,0.02088303355155854,0.015300498001557979,0.002808561125921969,0.010545656948990543,0.0015780876500117614,0.014309531201634548,0.010013017454243944,0.067302038772623,0.0020778253473087466,5.509301578514058e-4,0.0017860763947174104,01043
0.011970458039017329,0.0011548827547492933,0.016177982547818635,0.013072930327091002,0.10319522818579786,0.017132979898634493,0.04937266812879573,0.008506036408016771,0.0031258506067756513,0.002100654506027388,4.556317030143393e-4,0.05972478324675321,6.506324640485954e-4,0.002451297419556064,01045
0.007605023810260237,0.00475559971182243,6.46155705954003e-4,1.847891954327182e-4,0.004451652211794648,0.004667061585176658,0.12403388300680561,0.014777978279875042,0.0011770545082751768,4.783726499059172e-4,0.0032069783170881805,3.3330393991596794e-4,0.0010660303210551637,0.0010694078105017945,01047
9.814137194377748e-4,0.0018502413559343023,3.1110803950913836e-4,7.055746544621962e-4,0.0016326716441819415,6.586143427225773e-4,0.0020030171184731234,7.230411573230928e-4,0.011690826464543518,0.0012619154816422803,0.0029999157139330543,0.009410848942630107,3.4856726712871356e-4,3.660745098032366e-4,01049
0.0017899649455851182,0.001979121336507156,0.02263244141584818,0.01924182757382064,0.005029605475540363,0.012427290094497659,0.03126156069159244,0.02337808500870726,0.0530091409938599,0.043980874132598394,0.0979637618294486,0.6203035474076466,0.0037553987219657975,0.010247516609749225,01051
0.0012850719792733252,3.705704818416326e-4,0.01306876701595466,0.006901994285290479,0.008098884891581977,0.014164723662136069,0.05251100539725945,0.016882216080720384,0.011633473215330778,0.0021209473029116265,0.021911368049276046,0.0356748991196103,0.011964379171823802,0.0016337600294808975,01053
0.026954356817010278,9.38571285457718e-4,0.00916635818140946,0.028916973636249538,0.012031217870031459,0.04813264493379202,0.11301606146206389,0.0028913541755916025,0.009773792935438163,0.1595892810962971,0.004776335169309651,0.367205194575422,2.824376591017128e-4,0.005719500209800015,01055
0.0010289526869848953,1.1519678882345878e-4,0.005764640117285513,4.100858540572402e-4,0.04520566189796235,0.003615351704349147,0.027661660231240837,0.004682602135312103,0.007502080560364201,9.771158429715717e-5,0.010646610906985723,0.028345511270503904,3.8367165264283537e-4,2.7213334006533644e-4,01057
0.008653927572438573,0.00844502430702822,0.003027364077640923,0.005967394376845258,0.04693929372895715,0.014541302597460006,0.03288087182730326,0.001978504672293163,0.0038729198535034353,5.923605422386754e-4,0.018291186673017046,7.042539646097077e-4,0.002112337566770907,0.025230479561314297,01059
