state,county,stname,ctyname,abbreviation,Clothing and footwear,Durable goods,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Services,Transportation services
23,029,Maine,Washington County,ME,23.571980978234333,108.10352605728012,40.758400140612636,61.339374469040806,90.53729652667245,60.93582595279712,22.83609838978996,39.26289681570955,346.64817545332926,113.18348973234774,182.570096378248,598.3200207013056,150.07257174662382,72.4250895917351,38.78813385542286,238.52091124803482,17.70865841869367,85.17247507543281,86.62050210430723,985.7265962952474,35.17993535724399,28.794373541387962,639.0784208419182,21.57797654503022
23,031,Maine,York County,ME,151.08876773901332,692.9086085432696,261.24815126675315,393.1655345796681,580.3147635011045,390.57891922059133,146.3719985548145,251.66245905370394,2221.90259344694,725.4695312987064,1170.2152192152582,3835.037654442931,961.9166058872529,464.2213800319533,248.61938216067247,1528.841831059019,113.50676811007445,545.9279946098487,555.2093791335948,6318.188399156624,225.49199777363316,184.56261356235967,4096.285805709685,138.30784478828107
24,001,Maryland,Allegany County,MD,14.750686744657918,54.00983755163598,13.214406920966939,39.89526667147511,33.270059931807765,30.929633637903542,12.062197053198704,10.045829784604294,153.44794957725912,64.25970450032423,82.77907768747409,349.3956402145945,112.70052769108042,51.045297579357296,18.97545625980811,99.43811202562314,8.6895827527521,41.35953337843058,50.937277904254024,516.0579967128206,17.94326825326573,14.270599299754487,362.61004713556144,14.222590555264143
24,003,Maryland,Anne Arundel County,MD,116.12821199192514,425.20500729346065,104.0334917844667,314.0847653874363,261.9262844927718,243.5007341767218,94.96245162887288,79.08813135658369,1208.0546707215321,505.89946867759744,651.697541178444,2750.6984371822073,887.2611152190212,401.8659768931307,149.38869256243584,782.8496634280715,68.41076117343678,325.6125455851701,401.0155668785438,4062.7865996882065,141.2625524230497,112.34861192709438,2854.7319289666743,111.9706519206113
24,005,Maryland,Baltimore County,MD,169.6477397601295,621.1674767457956,151.978975977138,458.835709489561,382.6391656754101,355.72190834975896,138.72740313989434,115.53715067471798,1764.8058200433327,739.0512601104422,952.0426860257227,4018.401425677079,1296.1694681428935,587.0722841333042,218.2368401633562,1143.638343297537,99.93894514754578,475.6762499702248,585.8299491798125,5935.18622169755,206.36563949665876,164.12625107794466,4170.380401654217,163.57410220972616
24,009,Maryland,Calvert County,MD,18.640161124097435,68.25120021028353,16.69879365144937,50.41488655532944,42.042739329534655,39.08518732042237,15.242768046963322,12.694723239112736,193.90924326410556,81.20376131685734,104.60633952229456,441.5245976270142,142.41750443879164,64.50496766540797,23.978921673879615,125.65804305382201,10.980859767165617,52.26525242769713,64.3684652649874,652.1326345425691,22.674565403194197,18.033483788894916,458.22339127846357,17.972816055374665
24,011,Maryland,Caroline County,MD,6.723003243370379,24.61636663561164,6.0228043701796485,18.1832894881718,15.163681847536772,14.096972626660268,5.4976552152866,4.578644194223766,69.93783276362107,29.28800599268105,37.728684596847444,159.2460109176201,51.36615171297629,23.265201622501404,8.64855014464489,45.32146612800943,3.960499876485073,18.850666539181717,23.21596888923018,235.20664805142084,8.178104026719868,6.5041910954982765,165.26881528779975,6.482309880711066
24,013,Maryland,Carroll County,MD,34.20870407939069,125.25562925732964,30.645877291626654,92.5221581447475,77.15746762251506,71.72972368803077,27.97375720080362,23.297547041863314,355.8651600122132,149.02636423194286,191.97512777506722,810.2925829578052,261.36674638362786,118.38048694031622,44.00647774574181,230.60953075488356,20.15223901829037,95.9179774268351,118.12997568180155,1196.803620261645,41.61270349771285,33.09532070821443,840.9384602494318,32.98398237109681
24,015,Maryland,Cecil County,MD,20.981133782073695,76.82270302630727,18.79595467376984,56.74636996876563,47.32278506420527,43.99380126639863,17.157070342541957,14.28902276289315,218.26183515363073,91.40194488952201,117.74359617165359,496.9746017330735,160.30337364822782,72.60599021575217,26.990376329909285,141.4391321273235,12.359919331343658,58.82911880636774,72.45234480969955,734.032391560474,25.522209116517633,20.29826531072874,515.7705564068433,20.229978463594247
24,017,Maryland,Charles County,MD,32.200810784293964,117.90370100026269,28.847105511397604,87.09153380552736,72.6286798161618,67.51951943948376,26.331826556725332,21.93008838604886,334.97751495296853,140.2792033678681,180.70707239973595,762.7321421819215,246.02572275388147,111.43209785647049,41.42350028475896,217.07381395270585,18.96939544982004,90.28803414375672,111.19629045446996,1126.5567626462878,39.170229554531716,31.152777886513853,791.5792476933192,31.04797459673584
