"state","dem_poll_mean","rep_poll_mean","adj_dem_poll_mean","adj_rep_poll_mean","dem_poll_median","rep_poll_median","adj_dem_poll_median","adj_rep_poll_median","dem_poll_sd","rep_poll_sd","adj_dem_poll_sd","adj_rep_poll_sd"
"Kansas",37.2503921568627,43.3866666666667,38.6923706535948,46.4290274509804,37,47,35.92821,48.36114,3.14022541144341,9.07553949389584,5.46403695386379,5.55146225877193
"Kentucky",33.7028571428571,48.3224489795918,35.9805778911565,52.3770579591837,34.13,52,36.31522,53.36208,4.34411789365489,9.05240326765905,4.15250741091357,5.59829612356001
"Louisiana",33.5562,50.452,35.1757947333333,53.7487007333333,35.515,51,35.533885,53.318535,5.17460703303243,3.2757510537956,2.78800717515342,3.49970506628449
"Maine",43.6883018867925,34.2732075471698,45.404715408805,37.7986256603774,44,36,45.64559,38.03374,5.03782002878872,5.64481607382246,4.67691357140769,4.11002639839401
"Maine CD-1",47.8727272727273,32.7727272727273,49.4150057575758,35.677756969697,48.7,32.3,49.15488,36.06944,3.59559389455281,3.74552005128066,3.0008273617944,3.1557944313739
"Maine CD-2",38.4857142857143,41.0428571428571,39.1054985714286,43.1748380952381,38.1,40.55,39.11085,43.069255,3.22403862990319,3.82234399143381,2.86942514056223,3.46358103619068
"Maryland",54.0457446808511,28.0812765957447,55.5988878723404,31.4386573758865,53.26,27,54.54406,31.61896,6.44717105559181,3.1082378680495,3.95339096199196,2.86288577696043
"Massachusetts",52.7560784313726,27.8290196078431,54.5050519607843,31.5926453594771,52.83,28.57,54.50915,31.47865,4.40159827958671,3.80040610099865,3.19776735657413,2.57394914027781
"Michigan",42.8762790697674,37.753023255814,44.0182576356589,40.4471622868217,43.705,38.59,43.600625,40.602895,4.23530796656187,4.88886945222081,2.60326371150088,2.50801680511823
"Minnesota",42.2454166666667,33.8964583333333,43.5844082638889,37.0375290277778,42.77,35.85,43.541375,36.94722,4.12500932399879,4.63687929610459,2.29009157665897,2.36189991359757
"Mississippi",34.0653488372093,50.8632558139535,35.8718359689923,54.2350852713178,37.2,50.69,37.66637,53.39104,7.71634507540159,3.38986083849477,4.91713620042203,5.05058393481528
"Missouri",38.1636764705882,44.4117647058824,39.2076345588235,46.7552221078431,38,47,39.007605,47.651685,2.56831579500885,6.79308927477792,2.97826896898517,3.98445855442753
"Montana",33.0253658536585,45.2719512195122,34.4983300813008,48.5231660162602,32.75,48,33.56373,49.74262,3.36347748731531,8.75260417065074,4.05749324588683,5.01579026887592
"Nebraska",31.6066666666667,46.7704761904762,33.2938453174603,50.1271554761905,31.935,48.97,32.67417,50.82293,3.70837711135208,6.34874625193263,3.11781058993331,3.56231070950788
"Nebraska CD-1",29,53,27.5017466666667,50.70261,29,53,27.48652,50.73654,0,0,0.130846172788252,0.0957550097906117
"Nebraska CD-2",40,46.5,40.309925,48.0106533333333,40,46.5,40.330285,48.032575,0,2.73861278752583,1.16403434098398,0.631983257141095
