COUNTY,...2,BIDEN,TRUMP,OTHER,VOTE MARGIN,POPULATION,state,x,pct_in
St. Bernard Parish,100% in,0.348,0.633,0.018,R +28,45694,Louisiana,NA,NA
St. John the Baptist Parish,100% in,0.634,0.352,0.014,D +28,43446,Louisiana,NA,NA
Avoyelles Parish,100% in,0.288,0.696,0.017,R +41,40882,Louisiana,NA,NA
Webster Parish,100% in,0.339,0.649,0.012,R +31,39631,Louisiana,NA,NA
Natchitoches Parish,100% in,0.417,0.565,0.018,R +15,38963,Louisiana,NA,NA
Beauregard Parish,100% in,0.155,0.83,0.015,R +67,36769,Louisiana,NA,NA
Evangeline Parish,100% in,0.27,0.717,0.013,R +45,33636,Louisiana,NA,NA
Iberville Parish,100% in,0.509,0.472,0.019,D +4,32956,Louisiana,NA,NA
Jefferson Davis Parish,100% in,0.216,0.77,0.014,R +55,31467,Louisiana,NA,NA
De Soto Parish,100% in,0.37,0.618,0.011,R +25,27216,Louisiana,NA,NA
Morehouse Parish,100% in,0.427,0.563,0.01,R +14,25992,Louisiana,NA,NA
West Baton Rouge Parish,100% in,0.44,0.545,0.015,R +11,25860,Louisiana,NA,NA
Allen Parish,100% in,0.215,0.772,0.013,R +56,25661,Louisiana,NA,NA
Sabine Parish,100% in,0.163,0.828,0.009,R +66,24088,Louisiana,NA,NA
Plaquemines Parish,100% in,0.31,0.673,0.017,R +36,23373,Louisiana,NA,NA
Assumption Parish,100% in,0.341,0.647,0.012,R +31,22714,Louisiana,NA,NA
Union Parish,100% in,0.237,0.751,0.013,R +51,22475,Louisiana,NA,NA
Grant Parish,100% in,0.123,0.864,0.012,R +74,22348,Louisiana,NA,NA
Pointe Coupee Parish,100% in,0.379,0.607,0.015,R +23,22158,Louisiana,NA,NA
St. James Parish,100% in,0.517,0.473,0.01,D +4,21357,Louisiana,NA,NA
Richland Parish,100% in,0.324,0.665,0.011,R +34,20474,Louisiana,NA,NA
Franklin Parish,100% in,0.274,0.717,0.009,R +44,20322,Louisiana,NA,NA
Concordia Parish,100% in,0.36,0.629,0.011,R +27,20021,Louisiana,NA,NA
East Feliciana Parish,100% in,0.407,0.577,0.016,R +17,19499,Louisiana,NA,NA
Claiborne Parish,100% in,0.415,0.573,0.012,R +16,16153,Louisiana,NA,NA
Jackson Parish,100% in,0.281,0.707,0.013,R +43,15926,Louisiana,NA,NA
West Feliciana Parish,100% in,0.367,0.616,0.017,R +25,15377,Louisiana,NA,NA
LaSalle Parish,100% in,0.09,0.901,0.008,R +81,14949,Louisiana,NA,NA
Winn Parish,100% in,0.248,0.742,0.01,R +49,14494,Louisiana,NA,NA
Bienville Parish,100% in,0.435,0.552,0.013,R +12,13668,Louisiana,NA,NA
Madison Parish,100% in,0.568,0.413,0.018,D +16,11472,Louisiana,NA,NA
West Carroll Parish,100% in,0.141,0.855,0.005,R +71,11180,Louisiana,NA,NA
St. Helena Parish,100% in,0.543,0.441,0.016,D +10,10411,Louisiana,NA,NA
Caldwell Parish,100% in,0.156,0.835,0.009,R +68,9996,Louisiana,NA,NA
Catahoula Parish,100% in,0.261,0.729,0.01,R +47,9893,Louisiana,NA,NA
Red River Parish,100% in,0.398,0.584,0.018,R +19,8618,Louisiana,NA,NA
East Carroll Parish,100% in,0.626,0.356,0.019,D +27,7225,Louisiana,NA,NA
Cameron Parish,100% in,0.08,0.909,0.011,R +83,6868,Louisiana,NA,NA
Tensas Parish,100% in,0.52,0.469,0.011,D +5,4666,Louisiana,NA,NA
Milwaukee County,100% in,0.694,0.294,0.013,D +40,954209,Wisconsin,NA,NA
Dane County,100% in,0.757,0.229,0.014,D +53,529843,Wisconsin,NA,NA
Waukesha County,100% in,0.389,0.598,0.014,R +21,398879,Wisconsin,NA,NA
Brown County,100% in,0.456,0.528,0.016,R +7,259786,Wisconsin,NA,NA
Racine County,100% in,0.473,0.513,0.014,R +4,195398,Wisconsin,NA,NA
Outagamie County,100% in,0.441,0.541,0.018,R +10,184754,Wisconsin,NA,NA
Winnebago County,100% in,0.47,0.51,0.021,R +4,169926,Wisconsin,NA,NA
Kenosha County,100% in,0.477,0.508,0.015,R +3,168330,Wisconsin,NA,NA
Rock County,100% in,0.548,0.436,0.016,D +11,161769,Wisconsin,NA,NA
Marathon County,100% in,0.402,0.583,0.015,R +18,135264,Wisconsin,NA,NA
Washington County,100% in,0.303,0.684,0.013,R +38,134535,Wisconsin,NA,NA
La Crosse County,100% in,0.559,0.424,0.017,D +14,117850,Wisconsin,NA,NA
Sheboygan County,100% in,0.412,0.571,0.017,R +16,115205,Wisconsin,NA,NA
Walworth County,100% in,0.397,0.589,0.014,R +19,103013,Wisconsin,NA,NA
Eau Claire County,100% in,0.544,0.436,0.019,D +11,102991,Wisconsin,NA,NA
Fond du Lac County,100% in,0.36,0.625,0.015,R +27,102315,Wisconsin,NA,NA
Ozaukee County,100% in,0.433,0.554,0.013,R +12,88284,Wisconsin,NA,NA
St. Croix County,100% in,0.41,0.569,0.02,R +16,87917,Wisconsin,NA,NA
Dodge County,100% in,0.338,0.648,0.015,R +31,87776,Wisconsin,NA,NA
Jefferson County,100% in,0.416,0.569,0.016,R +15,84652,Wisconsin,NA,NA
Manitowoc County,100% in,0.376,0.608,0.016,R +23,79407,Wisconsin,NA,NA
Wood County,100% in,0.397,0.59,0.013,R +19,73274,Wisconsin,NA,NA
Portage County,100% in,0.504,0.476,0.019,D +3,70599,Wisconsin,NA,NA
Chippewa County,100% in,0.389,0.594,0.017,R +20,63635,Wisconsin,NA,NA
Sauk County,100% in,0.5,0.484,0.016,D +2,63596,Wisconsin,NA,NA
Columbia County,100% in,0.485,0.5,0.015,R +2,56954,Wisconsin,NA,NA
Grant County,100% in,0.43,0.553,0.016,R +12,51828,Wisconsin,NA,NA
Waupaca County,100% in,0.334,0.651,0.015,R +32,51444,Wisconsin,NA,NA
Calumet County,100% in,0.394,0.59,0.016,R +20,49807,Wisconsin,NA,NA
Monroe County,100% in,0.374,0.61,0.016,R +24,45502,Wisconsin,NA,NA
Barron County,100% in,0.363,0.624,0.013,R +26,45252,Wisconsin,NA,NA
Dunn County,100% in,0.421,0.56,0.019,R +14,44498,Wisconsin,NA,NA
Douglas County,100% in,0.537,0.444,0.019,D +9,43402,Wisconsin,NA,NA
Polk County,100% in,0.355,0.63,0.014,R +27,43349,Wisconsin,NA,NA
Pierce County,100% in,0.421,0.551,0.028,R +13,41603,Wisconsin,NA,NA
Shawano County,100% in,0.315,0.671,0.014,R +36,41009,Wisconsin,NA,NA
Marinette County,100% in,0.321,0.666,0.013,R +35,40537,Wisconsin,NA,NA
Oconto County,100% in,0.289,0.699,0.012,R +41,37556,Wisconsin,NA,NA
Green County,100% in,0.508,0.476,0.016,D +3,36864,Wisconsin,NA,NA
Oneida County,100% in,0.419,0.567,0.014,R +15,35345,Wisconsin,NA,NA
Clark County,100% in,0.304,0.673,0.023,R +37,34491,Wisconsin,NA,NA
Vernon County,100% in,0.469,0.516,0.015,R +5,30516,Wisconsin,NA,NA
Trempealeau County,100% in,0.409,0.575,0.015,R +17,29438,Wisconsin,NA,NA
Lincoln County,100% in,0.38,0.607,0.013,R +23,27848,Wisconsin,NA,NA
Door County,100% in,0.5,0.486,0.014,D +1,27439,Wisconsin,NA,NA
Juneau County,100% in,0.347,0.639,0.014,R +29,26419,Wisconsin,NA,NA
Waushara County,100% in,0.323,0.665,0.012,R +34,24116,Wisconsin,NA,NA
Iowa County,100% in,0.56,0.423,0.017,D +14,23620,Wisconsin,NA,NA
Vilas County,100% in,0.385,0.604,0.011,R +22,21593,Wisconsin,NA,NA
Jackson County,100% in,0.418,0.569,0.013,R +15,20506,Wisconsin,NA,NA
Kewaunee County,100% in,0.33,0.657,0.014,R +33,20360,Wisconsin,NA,NA
Taylor County,100% in,0.252,0.717,0.031,R +46,20356,Wisconsin,NA,NA
Adams County,100% in,0.367,0.624,0.01,R +26,20073,Wisconsin,NA,NA
Langlade County,100% in,0.332,0.657,0.011,R +32,19164,Wisconsin,NA,NA
Green Lake County,100% in,0.314,0.673,0.013,R +36,18757,Wisconsin,NA,NA
Richland County,100% in,0.444,0.541,0.015,R +10,17539,Wisconsin,NA,NA
Lafayette County,100% in,0.427,0.564,0.01,R +14,16735,Wisconsin,NA,NA
Sawyer County,100% in,0.429,0.563,0.008,R +13,16370,Wisconsin,NA,NA
Crawford County,100% in,0.455,0.531,0.014,R +8,16288,Wisconsin,NA,NA
Ashland County,100% in,0.55,0.44,0.011,D +11,15712,Wisconsin,NA,NA
Washburn County,100% in,0.373,0.612,0.015,R +24,15689,Wisconsin,NA,NA
Burnett County,100% in,0.352,0.637,0.011,R +29,15258,Wisconsin,NA,NA
Marquette County,100% in,0.358,0.632,0.01,R +27,15207,Wisconsin,NA,NA
Bayfield County,100% in,0.566,0.425,0.01,D +14,14992,Wisconsin,NA,NA
Rusk County,100% in,0.319,0.667,0.013,R +35,14183,Wisconsin,NA,NA
Price County,100% in,0.355,0.631,0.014,R +28,13490,Wisconsin,NA,NA
Buffalo County,100% in,0.366,0.619,0.014,R +25,13167,Wisconsin,NA,NA
Forest County,100% in,0.341,0.651,0.008,R +31,9018,Wisconsin,NA,NA
Pepin County,100% in,0.36,0.624,0.016,R +26,7262,Wisconsin,NA,NA
Iron County,100% in,0.383,0.609,0.008,R +23,5715,Wisconsin,NA,NA
Menominee County,100% in,0.82,0.175,0.006,D +64,4579,Wisconsin,NA,NA
Florence County,100% in,0.266,0.725,0.009,R +46,4337,Wisconsin,NA,NA
Cook County,100% in,0.743,0.241,0.016,D +50,5223719,Illinois,NA,NA
DuPage County,98% in,0.58,0.399,0.021,D +18,931743,Illinois,NA,NA
Lake County,95% in,0.611,0.37,0.019,D +24,703619,Illinois,NA,NA
Will County,100% in,0.533,0.45,0.018,D +8,688697,Illinois,NA,NA
Kane County,100% in,0.561,0.417,0.021,D +14,530839,Illinois,NA,NA
McHenry County,100% in,0.476,0.503,0.021,R +3,307789,Illinois,NA,NA
Winnebago County,100% in,0.502,0.477,0.022,D +3,286174,Illinois,NA,NA
Madison County,100% in,0.42,0.556,0.023,R +14,265670,Illinois,NA,NA
St. Clair County,100% in,0.533,0.447,0.02,D +9,263463,Illinois,NA,NA
Champaign County,100% in,0.6,0.372,0.028,D +23,209448,Illinois,NA,NA
Sangamon County,100% in,0.467,0.511,0.022,R +4,197661,Illinois,NA,NA
Peoria County,95% in,0.518,0.457,0.025,D +6,184463,Illinois,NA,NA
McLean County,98% in,0.505,0.466,0.029,D +4,173219,Illinois,NA,NA
Rock Island County,100% in,0.549,0.429,0.022,D +12,145275,Illinois,NA,NA
Tazewell County,87% in,0.358,0.617,0.024,R +26,133852,Illinois,NA,NA
Kendall County,100% in,0.518,0.461,0.021,D +6,124626,Illinois,NA,NA
Kankakee County,100% in,0.406,0.573,0.022,R +17,111061,Illinois,NA,NA
LaSalle County,100% in,0.414,0.567,0.019,R +15,110401,Illinois,NA,NA
Macon County,95% in,0.401,0.58,0.019,R +18,106512,Illinois,NA,NA
DeKalb County,100% in,0.515,0.458,0.027,D +6,104200,Illinois,NA,NA
Vermilion County,99% in,0.327,0.656,0.017,R +33,78407,Illinois,NA,NA
Williamson County,100% in,0.302,0.678,0.019,R +38,67299,Illinois,NA,NA
Adams County,100% in,0.257,0.723,0.02,R +47,66427,Illinois,NA,NA
Jackson County,100% in,0.494,0.481,0.025,D +1,58551,Illinois,NA,NA
Whiteside County,100% in,0.448,0.531,0.022,R +8,56396,Illinois,NA,NA
Boone County,98% in,0.42,0.558,0.022,R +14,53606,Illinois,NA,NA
Coles County,98% in,0.356,0.622,0.022,R +27,51736,Illinois,NA,NA
Ogle County,100% in,0.358,0.62,0.022,R +26,51328,Illinois,NA,NA
Knox County,98% in,0.46,0.522,0.018,R +6,50999,Illinois,NA,NA
Grundy County,100% in,0.359,0.622,0.02,R +26,50509,Illinois,NA,NA
Henry County,100% in,0.382,0.597,0.021,R +22,49464,Illinois,NA,NA
Macoupin County,100% in,0.306,0.673,0.021,R +37,45719,Illinois,NA,NA
Stephenson County,100% in,0.408,0.571,0.02,R +16,45433,Illinois,NA,NA
Franklin County,100% in,0.254,0.733,0.013,R +48,39127,Illinois,NA,NA
Woodford County,100% in,0.284,0.694,0.021,R +41,38817,Illinois,NA,NA
Jefferson County,100% in,0.265,0.717,0.018,R +45,38169,Illinois,NA,NA
Marion County,100% in,0.256,0.73,0.014,R +47,38084,Illinois,NA,NA
Clinton County,100% in,0.234,0.747,0.019,R +51,37628,Illinois,NA,NA
Livingston County,100% in,0.268,0.712,0.02,R +44,36324,Illinois,NA,NA
Fulton County,100% in,0.387,0.595,0.018,R +21,35418,Illinois,NA,NA
Lee County,100% in,0.391,0.588,0.022,R +20,34527,Illinois,NA,NA
Morgan County,100% in,0.33,0.651,0.019,R +32,34426,Illinois,NA,NA
Effingham County,100% in,0.195,0.788,0.017,R +59,34174,Illinois,NA,NA
Monroe County,100% in,0.309,0.67,0.02,R +36,33936,Illinois,NA,NA
Bureau County,96% in,0.381,0.599,0.02,R +22,33381,Illinois,NA,NA
Christian County,84% in,0.266,0.715,0.019,R +45,33231,Illinois,NA,NA
Randolph County,100% in,0.241,0.744,0.015,R +50,32546,Illinois,NA,NA
McDonough County,100% in,0.406,0.572,0.022,R +17,30875,Illinois,NA,NA
Logan County,100% in,0.287,0.689,0.023,R +40,29207,Illinois,NA,NA
Montgomery County,100% in,0.285,0.695,0.02,R +41,29009,Illinois,NA,NA
Iroquois County,100% in,0.207,0.776,0.017,R +57,28169,Illinois,NA,NA
Saline County,100% in,0.252,0.732,0.016,R +48,24231,Illinois,NA,NA
Jersey County,100% in,0.248,0.73,0.022,R +48,22069,Illinois,NA,NA
Jo Daviess County,100% in,0.408,0.574,0.017,R +17,21834,Illinois,NA,NA
Shelby County,100% in,0.206,0.78,0.014,R +57,21832,Illinois,NA,NA
Fayette County,100% in,0.181,0.802,0.017,R +62,21724,Illinois,NA,NA
Perry County,100% in,0.26,0.727,0.013,R +47,21384,Illinois,NA,NA
Douglas County,100% in,0.267,0.713,0.02,R +45,19714,Illinois,NA,NA
Crawford County,100% in,0.234,0.747,0.019,R +51,19088,Illinois,NA,NA
Hancock County,100% in,0.17,0.811,0.019,R +64,18112,Illinois,NA,NA
Edgar County,100% in,0.229,0.757,0.014,R +53,17539,Illinois,NA,NA
Warren County,100% in,0.391,0.591,0.018,R +20,17338,Illinois,NA,NA
Union County,74% in,0.29,0.693,0.016,R +40,17127,Illinois,NA,NA
Bond County,100% in,0.281,0.692,0.027,R +41,16712,Illinois,NA,NA
Wayne County,100% in,0.14,0.846,0.014,R +71,16487,Illinois,NA,NA
Piatt County,100% in,0.338,0.637,0.025,R +30,16427,Illinois,NA,NA
Lawrence County,79% in,0.222,0.761,0.017,R +54,16189,Illinois,NA,NA
De Witt County,100% in,0.272,0.703,0.025,R +43,16042,Illinois,NA,NA
Richland County,100% in,0.227,0.755,0.018,R +53,15881,Illinois,NA,NA
Clark County,100% in,0.239,0.745,0.016,R +51,15836,Illinois,NA,NA
Pike County,100% in,0.186,0.797,0.016,R +61,15754,Illinois,NA,NA
Mercer County,100% in,0.368,0.61,0.022,R +24,15693,Illinois,NA,NA
Moultrie County,100% in,0.246,0.737,0.017,R +49,14703,Illinois,NA,NA
Carroll County,100% in,0.342,0.637,0.021,R +29,14562,Illinois,NA,NA
Massac County,100% in,0.253,0.734,0.013,R +48,14430,Illinois,NA,NA
Washington County,100% in,0.208,0.774,0.019,R +57,14155,Illinois,NA,NA
White County,100% in,0.204,0.78,0.015,R +58,14025,Illinois,NA,NA
Mason County,95% in,0.294,0.688,0.019,R +39,13778,Illinois,NA,NA
Ford County,100% in,0.249,0.729,0.022,R +48,13398,Illinois,NA,NA
Clay County,100% in,0.164,0.817,0.019,R +65,13338,Illinois,NA,NA
Greene County,100% in,0.217,0.766,0.017,R +55,13218,Illinois,NA,NA
Cass County,100% in,0.304,0.682,0.015,R +38,12665,Illinois,NA,NA
Johnson County,100% in,0.199,0.786,0.015,R +59,12602,Illinois,NA,NA
Menard County,100% in,0.29,0.69,0.02,R +40,12367,Illinois,NA,NA
Marshall County,100% in,0.316,0.663,0.021,R +35,11794,Illinois,NA,NA
Wabash County,100% in,0.224,0.758,0.018,R +53,11573,Illinois,NA,NA
Cumberland County,100% in,0.196,0.789,0.015,R +59,10865,Illinois,NA,NA
Jasper County,100% in,0.181,0.806,0.014,R +63,9598,Illinois,NA,NA
Hamilton County,94% in,0.191,0.796,0.013,R +61,8221,Illinois,NA,NA
Schuyler County,100% in,0.273,0.71,0.017,R +44,7064,Illinois,NA,NA
Henderson County,100% in,0.326,0.656,0.018,R +33,6884,Illinois,NA,NA
Brown County,93% in,0.193,0.766,0.041,R +57,6675,Illinois,NA,NA
Alexander County,100% in,0.425,0.568,0.007,R +14,6532,Illinois,NA,NA
Edwards County,100% in,0.145,0.842,0.013,R +70,6507,Illinois,NA,NA
Putnam County,100% in,0.391,0.591,0.017,R +20,5746,Illinois,NA,NA
Pulaski County,100% in,0.34,0.648,0.013,R +31,5611,Illinois,NA,NA
Stark County,100% in,0.283,0.695,0.022,R +41,5500,Illinois,NA,NA
Gallatin County,100% in,0.232,0.755,0.012,R +52,5157,Illinois,NA,NA
Scott County,100% in,0.209,0.772,0.019,R +56,5047,Illinois,NA,NA
Calhoun County,100% in,0.244,0.739,0.018,R +49,4858,Illinois,NA,NA
Pope County,100% in,0.199,0.792,0.009,R +59,4249,Illinois,NA,NA
Hardin County,100% in,0.208,0.782,0.01,R +57,4009,Illinois,NA,NA
Wayne County,100% in,0.685,0.303,0.012,D +38,1761382,Michigan,NA,NA
Oakland County,100% in,0.564,0.423,0.013,D +14,1250843,Michigan,NA,NA
Macomb County,100% in,0.454,0.533,0.013,R +8,868704,Michigan,NA,NA
Kent County,100% in,0.521,0.459,0.02,D +6,643140,Michigan,NA,NA
Genesee County,100% in,0.54,0.446,0.015,D +9,409361,Michigan,NA,NA
Washtenaw County,100% in,0.727,0.26,0.013,D +47,365961,Michigan,NA,NA
Ingham County,100% in,0.652,0.33,0.018,D +32,289564,Michigan,NA,NA
Ottawa County,100% in,0.384,0.598,0.018,R +21,284034,Michigan,NA,NA
Kalamazoo County,100% in,0.584,0.396,0.02,D +19,261573,Michigan,NA,NA
Saginaw County,100% in,0.494,0.491,0.014,D +0,192778,Michigan,NA,NA
Livingston County,100% in,0.379,0.605,0.015,R +23,188482,Michigan,NA,NA
Muskegon County,100% in,0.494,0.488,0.018,D +1,173043,Michigan,NA,NA
St. Clair County,100% in,0.341,0.643,0.016,R +30,159566,Michigan,NA,NA
Jackson County,100% in,0.396,0.586,0.018,R +19,158913,Michigan,NA,NA
Berrien County,100% in,0.455,0.528,0.017,R +7,154807,Michigan,NA,NA
Monroe County,100% in,0.378,0.605,0.017,R +23,149699,Michigan,NA,NA
Calhoun County,100% in,0.436,0.546,0.018,R +11,134473,Michigan,NA,NA
Allegan County,100% in,0.364,0.617,0.019,R +25,115250,Michigan,NA,NA
Eaton County,100% in,0.487,0.495,0.019,R +1,109155,Michigan,NA,NA
Bay County,100% in,0.437,0.547,0.016,R +11,104786,Michigan,NA,NA
Lenawee County,100% in,0.392,0.591,0.017,R +20,98474,Michigan,NA,NA
Grand Traverse County,100% in,0.476,0.506,0.017,R +3,91746,Michigan,NA,NA
Lapeer County,100% in,0.311,0.674,0.015,R +36,88202,Michigan,NA,NA
Midland County,100% in,0.418,0.564,0.018,R +15,83389,Michigan,NA,NA
Clinton County,100% in,0.459,0.524,0.018,R +7,77896,Michigan,NA,NA
Van Buren County,100% in,0.43,0.553,0.017,R +12,75272,Michigan,NA,NA
Isabella County,100% in,0.479,0.504,0.018,R +3,70775,Michigan,NA,NA
Shiawassee County,100% in,0.392,0.59,0.019,R +20,68493,Michigan,NA,NA
Marquette County,100% in,0.546,0.435,0.019,D +11,66939,Michigan,NA,NA
Ionia County,100% in,0.339,0.641,0.02,R +30,64176,Michigan,NA,NA
Montcalm County,100% in,0.302,0.68,0.018,R +38,63209,Michigan,NA,NA
St. Joseph County,100% in,0.331,0.649,0.02,R +32,60897,Michigan,NA,NA
Barry County,100% in,0.329,0.654,0.018,R +32,60057,Michigan,NA,NA
Tuscola County,100% in,0.296,0.69,0.015,R +39,53250,Michigan,NA,NA
Cass County,100% in,0.348,0.637,0.015,R +29,51460,Michigan,NA,NA
Newaygo County,100% in,0.29,0.694,0.016,R +40,48142,Michigan,NA,NA
Hillsdale County,100% in,0.253,0.732,0.016,R +48,45830,Michigan,NA,NA
Branch County,100% in,0.3,0.685,0.015,R +38,43584,Michigan,NA,NA
Mecosta County,100% in,0.35,0.63,0.019,R +28,43264,Michigan,NA,NA
Sanilac County,100% in,0.266,0.722,0.013,R +46,41376,Michigan,NA,NA
Gratiot County,100% in,0.35,0.633,0.017,R +28,41067,Michigan,NA,NA
Chippewa County,100% in,0.377,0.605,0.018,R +23,37834,Michigan,NA,NA
Houghton County,100% in,0.419,0.561,0.02,R +14,36360,Michigan,NA,NA
Delta County,100% in,0.36,0.624,0.016,R +26,36190,Michigan,NA,NA
Wexford County,100% in,0.32,0.663,0.018,R +34,33111,Michigan,NA,NA
Emmet County,100% in,0.436,0.547,0.017,R +11,33039,Michigan,NA,NA
Huron County,100% in,0.298,0.69,0.012,R +39,31543,Michigan,NA,NA
Clare County,100% in,0.319,0.667,0.014,R +35,30616,Michigan,NA,NA
Mason County,100% in,0.394,0.592,0.014,R +20,28884,Michigan,NA,NA
Alpena County,100% in,0.354,0.63,0.017,R +28,28612,Michigan,NA,NA
Oceana County,100% in,0.352,0.632,0.016,R +28,26417,Michigan,NA,NA
Charlevoix County,100% in,0.408,0.579,0.013,R +17,26219,Michigan,NA,NA
Dickinson County,100% in,0.325,0.659,0.016,R +33,25570,Michigan,NA,NA
Cheboygan County,100% in,0.343,0.642,0.015,R +30,25458,Michigan,NA,NA
Gladwin County,100% in,0.31,0.678,0.013,R +37,25289,Michigan,NA,NA
Iosco County,100% in,0.35,0.635,0.015,R +29,25247,Michigan,NA,NA
Manistee County,100% in,0.417,0.568,0.015,R +15,24444,Michigan,NA,NA
Otsego County,100% in,0.321,0.663,0.016,R +34,24397,Michigan,NA,NA
Roscommon County,100% in,0.344,0.644,0.012,R +30,23877,Michigan,NA,NA
Menominee County,100% in,0.342,0.644,0.014,R +30,23234,Michigan,NA,NA
Osceola County,100% in,0.261,0.724,0.015,R +46,23232,Michigan,NA,NA
Antrim County,100% in,0.374,0.611,0.015,R +24,23177,Michigan,NA,NA
Leelanau County,100% in,0.52,0.469,0.011,D +5,21639,Michigan,NA,NA
Ogemaw County,100% in,0.292,0.693,0.015,R +40,20928,Michigan,NA,NA
Benzie County,100% in,0.447,0.538,0.015,R +9,17552,Michigan,NA,NA
Kalkaska County,100% in,0.282,0.7,0.018,R +42,17463,Michigan,NA,NA
Gogebic County,100% in,0.432,0.556,0.012,R +12,15414,Michigan,NA,NA
Arenac County,100% in,0.314,0.671,0.015,R +36,15165,Michigan,NA,NA
Missaukee County,100% in,0.225,0.759,0.016,R +53,15006,Michigan,NA,NA
Crawford County,100% in,0.34,0.647,0.013,R +31,13836,Michigan,NA,NA
Presque Isle County,100% in,0.349,0.64,0.011,R +29,12797,Michigan,NA,NA
Lake County,100% in,0.362,0.624,0.014,R +26,11763,Michigan,NA,NA
Iron County,100% in,0.367,0.621,0.012,R +25,11212,Michigan,NA,NA
Mackinac County,100% in,0.375,0.614,0.011,R +24,10817,Michigan,NA,NA
Alcona County,100% in,0.303,0.686,0.01,R +38,10364,Michigan,NA,NA
Montmorency County,100% in,0.278,0.712,0.01,R +43,9261,Michigan,NA,NA
Alger County,100% in,0.4,0.588,0.012,R +19,9194,Michigan,NA,NA
Baraga County,100% in,0.366,0.622,0.011,R +26,8507,Michigan,NA,NA
Oscoda County,100% in,0.275,0.711,0.014,R +44,8277,Michigan,NA,NA
Schoolcraft County,100% in,0.335,0.651,0.014,R +32,8069,Michigan,NA,NA
Luce County,100% in,0.281,0.703,0.017,R +42,6364,Michigan,NA,NA
Ontonagon County,100% in,0.366,0.62,0.015,R +25,5968,Michigan,NA,NA
Keweenaw County,100% in,0.432,0.554,0.015,R +12,2130,Michigan,NA,NA
Marion County,100% in,0.637,0.345,0.019,D +29,944523,Indiana,NA,NA
Lake County,100% in,0.568,0.417,0.015,D +15,486849,Indiana,NA,NA
Allen County,100% in,0.433,0.545,0.022,R +11,370016,Indiana,NA,NA
Hamilton County,100% in,0.456,0.524,0.02,R +7,316095,Indiana,NA,NA
St. Joseph County,100% in,0.521,0.462,0.017,D +6,269240,Indiana,NA,NA
Elkhart County,100% in,0.351,0.632,0.017,R +28,203604,Indiana,NA,NA
Tippecanoe County,100% in,0.49,0.484,0.026,D +1,189294,Indiana,NA,NA
Vanderburgh County,100% in,0.444,0.539,0.017,R +10,181313,Indiana,NA,NA
Porter County,100% in,0.46,0.521,0.019,R +6,168041,Indiana,NA,NA
Hendricks County,100% in,0.369,0.608,0.023,R +24,160940,Indiana,NA,NA
Johnson County,100% in,0.319,0.66,0.021,R +34,151564,Indiana,NA,NA
Monroe County,100% in,0.632,0.35,0.018,D +28,145403,Indiana,NA,NA
Madison County,100% in,0.377,0.603,0.02,R +23,129505,Indiana,NA,NA
Clark County,100% in,0.399,0.582,0.019,R +18,115702,Indiana,NA,NA
Delaware County,100% in,0.424,0.557,0.018,R +13,115616,Indiana,NA,NA
LaPorte County,100% in,0.454,0.526,0.02,R +7,110552,Indiana,NA,NA
Vigo County,100% in,0.416,0.563,0.021,R +15,107693,Indiana,NA,NA
Howard County,100% in,0.328,0.651,0.021,R +32,82387,Indiana,NA,NA
Bartholomew County,100% in,0.357,0.619,0.024,R +26,81893,Indiana,NA,NA
Kosciusko County,100% in,0.234,0.741,0.025,R +51,78806,Indiana,NA,NA
Floyd County,100% in,0.419,0.56,0.02,R +14,76809,Indiana,NA,NA
Hancock County,100% in,0.301,0.676,0.024,R +38,73830,Indiana,NA,NA
Morgan County,100% in,0.215,0.761,0.024,R +55,69727,Indiana,NA,NA
Grant County,100% in,0.295,0.683,0.021,R +39,66944,Indiana,NA,NA
Wayne County,100% in,0.344,0.635,0.021,R +29,66613,Indiana,NA,NA
Boone County,100% in,0.396,0.581,0.024,R +18,64321,Indiana,NA,NA
Warrick County,100% in,0.353,0.631,0.017,R +28,61928,Indiana,NA,NA
Dearborn County,100% in,0.215,0.77,0.015,R +56,49501,Indiana,NA,NA
Henry County,100% in,0.264,0.716,0.021,R +45,48483,Indiana,NA,NA
Noble County,100% in,0.243,0.74,0.018,R +50,47451,Indiana,NA,NA
Marshall County,100% in,0.287,0.695,0.018,R +41,46595,Indiana,NA,NA
Lawrence County,100% in,0.236,0.742,0.022,R +51,45619,Indiana,NA,NA
Shelby County,100% in,0.251,0.729,0.02,R +48,44399,Indiana,NA,NA
Jackson County,100% in,0.224,0.757,0.02,R +53,43938,Indiana,NA,NA
DeKalb County,100% in,0.253,0.725,0.022,R +47,42704,Indiana,NA,NA
Dubois County,100% in,0.289,0.691,0.02,R +40,42418,Indiana,NA,NA
Harrison County,100% in,0.264,0.72,0.016,R +46,39712,Indiana,NA,NA
LaGrange County,100% in,0.221,0.763,0.016,R +54,38942,Indiana,NA,NA
Montgomery County,100% in,0.245,0.736,0.019,R +49,38276,Indiana,NA,NA
Cass County,100% in,0.283,0.695,0.022,R +41,38084,Indiana,NA,NA
Putnam County,100% in,0.238,0.74,0.022,R +50,37559,Indiana,NA,NA
Knox County,100% in,0.254,0.728,0.018,R +47,37409,Indiana,NA,NA
Huntington County,100% in,0.239,0.738,0.023,R +50,36378,Indiana,NA,NA
Miami County,100% in,0.224,0.755,0.021,R +53,35901,Indiana,NA,NA
